Lemma,APD
mil,0.7134258
cio,0.6788805
co,0.65930474
uo,0.65144885
hereo,0.6501547
po,0.63890976
consolatio,0.6370232
ro,0.6332505
cc,0.6330471
ah,0.62781405
declamatio,0.625105
pridie,0.6237432
manifesto,0.6224434
so,0.6219276
alis,0.6217158
constans,0.6213616
exto,0.6211936
imperator,0.6192335
ma,0.6171753
teus,0.61431676
dominus,0.61323965
festum,0.6126006
consultum,0.6123646
to,0.6072119
secundo,0.6032883
solidus,0.60277945
lo,0.6027629
primitus,0.59880656
erus,0.5976527
constanter,0.5967612
redemptor,0.59674716
receptus,0.5965113
con,0.5964182
mo,0.5958796
xiiii,0.5954811
deus,0.594942
cattus,0.5945497
no,0.59419787
auditus,0.59393
reuereor,0.5914615
posterus,0.59049493
instans,0.5892495
cerealis,0.5891563
am,0.58682156
praedico,0.5854945
compositus,0.5848383
sanctus,0.58468795
inferus,0.58227986
exterior,0.5821902
dies,0.58132315
notio,0.58127105
crux,0.5806329
dius,0.5799428
paruus,0.5796755
defectus,0.57933205
dilectus,0.5790583
kalendae,0.5790335
bonus,0.57870865
neo,0.57842827
operor,0.5783477
istic,0.577669
mena,0.57705307
ago,0.5770216
as,0.57672125
lego,0.5762073
superus,0.575257
tas,0.57461715
liber,0.574484
perfecte,0.5743673
magus,0.5742925
completus,0.5741053
capitulum,0.5729508
clemens,0.5729485
audio,0.5723952
rego,0.57223594
superior,0.57170564
proximum,0.57139695
edo,0.5712551
gentilis,0.5709702
carus,0.5707814
potus,0.570759
africus,0.57046384
crispinus,0.5701321
sero,0.5696695
humilis,0.569619
paco,0.56961226
iniquitas,0.569477
praes,0.5692139
potis,0.5692099
udo,0.56904054
decimus,0.5687963
au,0.568731
conscribo,0.56853676
minor,0.5678186
consultus,0.56781405
decresco,0.5675714
decimo,0.567297
consummatio,0.5670624
nequam,0.5668595
domino,0.5668431
clare,0.56651294
determino,0.5664678
malus,0.56630486
praeses,0.5661107
reliquus,0.56587285
cis,0.5656935
sera,0.56568927
