Lemma,APD
mil,0.73966867
cc,0.7237907
cio,0.7236706
kalendae,0.6850516
crispinus,0.6682067
cerealis,0.66799647
ah,0.6619015
mena,0.6534493
uo,0.64713234
consolatio,0.63993466
consultum,0.63207763
co,0.62822074
hereo,0.6253331
festum,0.6250082
manifesto,0.6224521
ro,0.6198618
pridie,0.6196783
marcia,0.61886907
bassus,0.6157953
reuereor,0.614731
po,0.6135624
exto,0.61257404
so,0.61045617
constans,0.6065966
declamatio,0.60639966
deus,0.6038447
primitus,0.6010583
lo,0.59934527
solidus,0.5992089
instans,0.59409255
secundo,0.59334266
neo,0.5916571
alis,0.5902765
teus,0.58885974
dominus,0.588582
pompeianus,0.58772653
no,0.5876122
udo,0.5867073
to,0.58665466
decimus,0.58650696
imperator,0.5862888
erus,0.58598566
dies,0.5857614
magus,0.58453363
praedico,0.58452404
receptus,0.583595
ago,0.583047
maius,0.58277273
operor,0.5821025
exterior,0.58160025
notio,0.5809948
posterus,0.58049005
lateranus,0.58024013
africus,0.5797541
inferus,0.5795766
decresco,0.5794981
con,0.5793904
cattus,0.5793287
constanter,0.578839
lego,0.57809126
potis,0.5779411
consummatio,0.5773035
conscribo,0.57649136
crux,0.57609946
edo,0.5757309
compositus,0.5754839
istic,0.57453066
superus,0.5745059
uii,0.57445186
dubie,0.57406294
carus,0.57386255
sanctus,0.57383204
mo,0.5735763
rego,0.57337123
xiiii,0.5730709
mucianus,0.57304275
minor,0.57300365
uiii,0.5729705
sero,0.5729462
sera,0.5727491
paruus,0.5727226
bonus,0.57258445
palatium,0.5722935
dilectus,0.5720038
testor,0.57187635
pater,0.57146764
processus,0.5693746
auditus,0.5691841
redemptor,0.56904787
fimbria,0.56892323
paco,0.5688176
faustinus,0.5687166
praes,0.56859255
liber,0.5685589
beo,0.5679822
as,0.567462
deputo,0.56693566
nolo,0.56616807
propono,0.5660222
clemens,0.5659617
titianus,0.5657118
sextus,0.5656215
gero,0.5655143
credo,0.56546974
diligo,0.5653462
xuii,0.5650809
gentilis,0.56463313
mereor,0.56461835
potus,0.56450254
superior,0.56441426
determino,0.5643704
purus,0.56423444
imprimo,0.5641012
audio,0.56336236
cubo,0.5627491
accidens,0.5622379
tero,0.5621491
consto,0.5617703
excipio,0.5617608
defectus,0.5615478
dius,0.56114423
uiiii,0.56043506
penus,0.5603955
nescio,0.560214
contraho,0.5597551
compono,0.5596584
decimo,0.55963856
perfecte,0.559572
consuo,0.5593461
alto,0.55907875
rarus,0.5589187
serus,0.558902
malus,0.55876416
condo,0.5586617
addo,0.5584361
tectus,0.55815566
specialis,0.55805486
pulcher,0.5577993
communio,0.55760694
humilis,0.5574147
pono,0.5570213
libo,0.55680895
oro,0.55672115
absum,0.55669445
orior,0.55665195
plene,0.55628276
firmus,0.5561491
uter,0.5559585
innuo,0.55595416
perficio,0.55576354
fortis,0.5553378
iniquitas,0.5550973
magnus,0.55503035
remissio,0.5549455
nihilum,0.5547247
accipio,0.5546898
incipio,0.5544386
propositio,0.55443805
aequus,0.55430883
consultus,0.55415505
statuo,0.5541514
iustus,0.55409294
aperio,0.553932
mobilis,0.5538548
praesum,0.5538467
aemilianus,0.55358446
impius,0.5535236
pario,0.5534994
quintus,0.55341697
cis,0.5532496
capitulum,0.55314904
interior,0.55313736
nitor,0.5530678
capio,0.553005
punctum,0.55296797
domino,0.5528201
eligo,0.55269104
creo,0.5523418
omitto,0.55224425
doceo,0.5521592
proximum,0.55213886
rogo,0.5521311
nata,0.55211526
aliquantus,0.5521056
differo,0.5518463
produco,0.551756
indico,0.5517003
firmamentum,0.55168974
planus,0.5516841
probus,0.55155843
miser,0.551503
agens,0.5515017
uis,0.5514556
meritus,0.551313
expedio,0.5511275
fors,0.5509947
exter,0.5509939
uerum,0.5509518
sto,0.5509085
completus,0.55040383
praemitto,0.5503952
designo,0.5503721
optatus,0.5501526
gigno,0.5499698
induco,0.5498586
sino,0.5496434
suspicio,0.549598
tas,0.54936826
tollo,0.54928166
dubius,0.5491977
praecedo,0.5489508
apo,0.5489236
duco,0.5485837
labor,0.5485626
probo,0.5485332
scio,0.5485096
quaero,0.54847604
refero,0.5481049
continuo,0.5480679
libra,0.54806626
arguo,0.547899
tuor,0.54785204
exhibeo,0.5478455
clarus,0.54780406
patior,0.5477651
indo,0.54776424
principalis,0.54766583
quaestio,0.5476405
censeo,0.5476386
clare,0.5475796
plenus,0.547513
dulcis,0.5474102
notus,0.547389
turpis,0.5473734
concedo,0.5473289
profero,0.54707193
memoro,0.54692245
immortalis,0.5468944
loquor,0.54687136
seorsum,0.5467202
plaga,0.54662174
terrenus,0.5466089
finio,0.5465859
articulus,0.5465188
factio,0.54648477
nequam,0.54644024
promitto,0.5464079
particula,0.54632324
reliquus,0.5461327
subeo,0.5461212
paro,0.54592437
confero,0.5458848
cogo,0.5458297
exsto,0.5457553
cado,0.5456051
describo,0.5455609
lineus,0.5451349
parce,0.5450388
committo,0.5450284
cesso,0.5449252
assero,0.54478824
praetereo,0.54476124
sufficiens,0.544743
felix,0.54467815
exprimo,0.54464066
calendar,0.544635
numero,0.5446241
praesto,0.54453355
secundus,0.54445094
sponsus,0.54441684
respicio,0.54438496
mysterium,0.54406977
foedus,0.54404235
praecipio,0.5440007
absolute,0.5439813
participo,0.5438902
triplex,0.543816
momentum,0.54359305
offero,0.5434474
unicus,0.5434274
colligo,0.5434194
seduco,0.54341424
tristis,0.54339147
manduco,0.5433724
supremum,0.5433116
expendo,0.54330236
suscipio,0.54325104
irritus,0.5431792
im,0.5431297
tacitus,0.5431119
traditio,0.54305387
iniquus,0.54302156
obsecro,0.5429731
perdo,0.5429417
constituo,0.54289603
ma,0.5426834
abominor,0.5425782
refert,0.5423771
ordino,0.54233736
mereo,0.5423284
modicus,0.54229385
morior,0.54217577
integer,0.5421616
commodus,0.5421192
caro,0.5420957
egero,0.54208183
secerno,0.5420624
mando,0.54202074
sus,0.5419106
reddo,0.54176545
fidelis,0.5417533
modus,0.5414392
aequalis,0.5413507
attendo,0.54120773
certus,0.5412023
cognosco,0.5411479
specto,0.5411121
laetus,0.54088026
sanus,0.54085976
frigo,0.5408347
desero,0.54082316
intimo,0.5408007
eu,0.5407652
caecus,0.54076016
sempiternus,0.5407336
sancio,0.540593
oppono,0.54052097
lino,0.5404754
promo,0.5404075
confirmo,0.5401764
digne,0.5401653
pedo,0.5400859
nonus,0.54006636
doctus,0.5400533
praedicatio,0.54000723
uerus,0.54000455
confundo,0.5397636
cito,0.5397458
gratus,0.5397406
curo,0.5397265
grandis,0.5397235
