Token,Cosine Similarity
[CLS],0.95809877
cogito,0.98990035
ego,0.98125994
et,0.98310935
cum,0.99413496
animus,0.9953563
meus,0.9453123
bonus,0.9640363
fidelissimus,0.96791947
memoria,0.97995293
recenseo,0.9809079
tantus,0.9937507
dulcedo,0.98588973
homo,0.9835062
inhaereo,0.9795669
ut,0.9928843
ipse,0.9898607
quodammodo,0.95388794
uideo,0.98829937
in,0.989099
praetereo,0.9922639
redeo,0.99725544
non,0.98770547
is,0.9688873
qui,0.9932529
iam,0.99453914
transigo,0.9866063
decurro,0.99435604
sum,0.9892634
recordatio,0.9360533
reuoco,0.98747325
ita,0.9856524
[SEP],0.9265604
neque,0.99440205
discedo,0.9942162
uir,0.98206675
eximius,0.9877423
sanctus,0.98150855
immensus,0.9855788
suus,0.9790783
desiderium,0.95463777
nos,0.9870738
relinquo,0.9902277
utpote,0.95573026
noster,0.96518016
semper,0.9936883
amor,0.9940864
ludicrus,0.98282313
seria,0.9755094
par,0.9935553
uoluntas,0.97854185
concino,0.9737465
idem,0.9881639
uolo,0.9951769
uel,0.9834314
nolo,0.98133373
credo,0.97585046
unus,0.9889965
mens,0.9933813
duo,0.99125636
diuido,0.99471074
quis,0.9789443
hic,0.994183
res,0.9795709
nec,0.9927087
salto,0.99123156
de,0.9789579
praesens,0.98196435
caput,0.98683393
experimentum,0.9512265
uos,0.9788312
cassus,0.99116004
uotum,0.99648625
decipio,0.98392516
post,0.9833584
mors,0.9768304
miser,0.9947295
dum,0.9940399
adhuc,0.9865642
uiuo,0.9892755
aestimo,0.9832127
tamen,0.989909
quod,0.9904188
uere,0.97079694
malum,0.97185004
ne,0.99155205
quidem,0.98027396
rapio,0.996927
defendo,0.9895427
pro,0.98272294
audeo,0.990279
secedo,0.9835508
ab,0.94398236
iste,0.9896265
factum,0.94936347
hercules,0.9836316
monstrum,0.9938303
mons,0.96067977
elido,0.9880228
solitus,0.98276526
armentum,0.9595817
furo,0.990314
rusticus,0.98643553
indocilis,0.9744534
quoque,0.9842092
laus,0.9882486
gratia,0.95618343
ago,0.98573726
