Token,Cosine Similarity
[CLS],0.8892256
cogito,0.98917246
ego,0.9777881
et,0.9779235
cum,0.99104345
animus,0.9954705
meus,0.95176893
bonus,0.96829677
fidelissimus,0.9788339
memoria,0.97857606
recenseo,0.9883489
tantus,0.9964978
dulcedo,0.9904432
homo,0.9844698
inhaereo,0.9899914
ut,0.98774713
ipse,0.99044514
quodammodo,0.97850424
uideo,0.98488045
in,0.9867177
praetereo,0.99237084
redeo,0.9982671
non,0.9857567
is,0.9643384
qui,0.9928119
iam,0.99507093
transigo,0.9885825
decurro,0.9943414
sum,0.9903475
recordatio,0.9635027
reuoco,0.9915645
ita,0.9842214
contemplatio,0.93461674
quantum,0.9940678
subtraho,0.98712766
oculus,0.98144
tantum,0.9915351
pectus,0.99640095
atque,0.994277
paene,0.9960575
intimus,0.9895723
sensus,0.9959164
[SEP],0.94464326
neque,0.99323946
discedo,0.99367064
uir,0.97326034
eximius,0.9870513
sanctus,0.98760813
immensus,0.99294543
suus,0.9794494
desiderium,0.97400236
nos,0.9840272
relinquo,0.9903923
utpote,0.964319
noster,0.9516453
semper,0.9944905
amor,0.9949051
ludicrus,0.98943734
seria,0.98770475
par,0.9953489
uoluntas,0.98243296
concino,0.98432124
idem,0.9899704
uolo,0.9955934
uel,0.98407996
nolo,0.97999614
credo,0.985995
unus,0.99396515
mens,0.9955414
duo,0.9943155
diuido,0.9936284
quis,0.97407717
hic,0.9936431
res,0.9836049
nec,0.9918784
salto,0.9958692
de,0.972478
praesens,0.9866434
caput,0.9875036
experimentum,0.9760117
uos,0.978491
cassus,0.9937209
uotum,0.99699384
decipio,0.99120617
post,0.9850198
mors,0.97804856
miser,0.9961647
dum,0.993749
adhuc,0.9849621
uiuo,0.99320334
aestimo,0.9850184
tamen,0.9907758
quod,0.9875863
uere,0.9778439
malum,0.9811418
ne,0.9906402
quidem,0.9834801
rapio,0.99786305
defendo,0.992236
pro,0.98064876
audeo,0.99453914
terreo,0.9956086
uirgo,0.99362296
species,0.98559237
ille,0.985528
debeo,0.98562783
prior,0.99084127
utique,0.9706147
deus,0.9836091
amo,0.99288785
lasciuio,0.9909016
que,0.9887272
sic,0.99064124
coepio,0.99240345
amarus,0.9936243
insequor,0.9907958
uiolo,0.9953022
puella,0.9870759
gratis,0.9711523
stultus,0.9716265
possum,0.9860283
consequor,0.9892781
cursus,0.99427533
si,0.9788706
occurro,0.99220854
per,0.9934119
aura,0.99769133
sub,0.9928148
tego,0.998026
uenio,0.9867688
remaneo,0.98117715
diuinus,0.99272335
fallo,0.9980459
genus,0.98955023
nam,0.9943154
improbus,0.991097
eo,0.9884663
ab,0.95087403
primitia,0.91803455
quoque,0.97622913
pecus,0.9956203
paueo,0.993316
refero,0.9974171
lusus,0.9822184
pono,0.9883667
mitto,0.97978294
alo,0.99578846
retineo,0.9921711
prosterno,0.9875265
amicus,0.9906637
ultimus,0.99135715
dies,0.8518317
hyacinthus,0.9759535
sodalis,0.9927248
praecedo,0.98596644
liber,0.97913027
pater,0.9787008
certe,0.9834762
bis,0.9941581
gigno,0.9896375
dico,0.9612708
omnis,0.9823742
aut,0.9937688
timor,0.9812908
pudor,0.99719274
natura,0.9904877
perfundo,0.9846709
india,0.9877389
nascor,0.9953195
ex,0.986949
iuppiter,0.9950013
proserpina,0.99242574
primum,0.99219275
contra,0.96726125
profusus,0.9771929
cruor,0.9968364
enim,0.98382396
sicut,0.9688213
mortalis,0.98771644
rursus,0.99400836
flo,0.99291927
reddo,0.9944279
alter,0.99368894
uenter,0.99034196
percipio,0.9753642
iterum,0.9847382
abscisus,0.9676139
uterus,0.9844849
prope,0.97869515
partus,0.9898819
defunco,0.9747677
tollo,0.9890133
do,0.98850846
nisus,0.9890485
nutrio,0.99556047
alumnus,0.9938543
uoco,0.98694307
religio,0.99338484
uacuus,0.993404
falsus,0.9917127
curo,0.99310327
bacchor,0.99168515
qualis,0.9857158
nunc,0.9908143
conspiro,0.9882469
furor,0.9809394
ceterus,0.9938669
numen,0.9936271
adsum,0.9967786
manifestus,0.9767431
rudis,0.99357986
uinum,0.9762527
permuto,0.9846163
primo,0.99130905
exprimo,0.9920772
honor,0.94380575
dedo,0.99326956
inuictus,0.9905625
petra,0.95906734
habeo,0.9909146
ergo,0.98046863
reticeo,0.9926548
iste,0.9911169
uinco,0.9948126
quaerendus,0.97799015
insuper,0.97323555
fur,0.9790361
depingo,0.99114907
furtum,0.9620377
denique,0.98519313
maleficus,0.96329224
gestio,0.98925734
lateo,0.99685097
appareo,0.98184514
trepido,0.9968265
deprehendo,0.9908626
nego,0.9941637
accuso,0.98831415
facile,0.99517536
confiteor,0.9841506
damno,0.98985434
maereo,0.9949395
semet,0.96519095
malus,0.98787296
impetus,0.9849008
ignauia,0.9825946
fatum,0.99665594
astrum,0.9946434
imputo,0.986531
agnosco,0.9913167
terrenus,0.9882873
uerto,0.99747014
bos,0.9770713
alienus,0.9668767
antrum,0.9955699
uulcanus,0.98294306
filius,0.9505235
unde,0.9870972
inde,0.9884971
forte,0.9733305
placeo,0.9820871
bene,0.98696816
fistula,0.9786541
canto,0.9829372
lar,0.98682797
igitur,0.98356295
quando,0.98134947
lignum,0.9775914
uenalis,0.99038124
emo,0.97313315
dominus,0.92438036
tu,0.98170096
aspicio,0.99335843
deficio,0.9793298
pudet,0.99073356
talis,0.9912616
adoro,0.9833394
tabella,0.9741637
quaero,0.98769
christianus,0.9859132
uero,0.97658116
similis,0.983083
secedo,0.9874728
factum,0.9635086
hercules,0.99065524
monstrum,0.99712247
mons,0.9722949
elido,0.990788
solitus,0.9939579
armentum,0.97466475
furo,0.997434
rusticus,0.9879643
indocilis,0.98621154
laus,0.98982394
gratia,0.95514107
ago,0.9908363
absum,0.98779523
tono,0.97364277
uoueo,0.9975594
hostia,0.98017687
ineptus,0.983412
oro,0.9858667
laeto,0.9926058
ara,0.99492323
sui,0.9953013
facio,0.9850399
porrigo,0.9913407
uetustus,0.9903046
mos,0.99622583
colo,0.9901115
sed,0.99428385
licet,0.9836873
fortis,0.97494614
arma,0.9967747
adscribo,0.9821554
sacer,0.98589563
fero,0.9956722
inter,0.99394035
uterque,0.99427074
uia,0.97677124
uagor,0.995038
tribuo,0.9906075
cur,0.99474525
uanus,0.9948366
manes,0.9850598
fabrico,0.9923241
femina,0.9917106
nescio,0.99515843
dea,0.99311733
bellona,0.9927035
caelestis,0.98270804
uenero,0.99234295
coniunx,0.9964478
uester,0.9821583
alius,0.9871259
praeterea,0.9882083
procul,0.9903362
fanum,0.97764903
numero,0.9851449
collum,0.9944546
ratio,0.9850475
pestis,0.9906523
nemo,0.9844326
pudeo,0.99224526
paeniteo,0.98930883
nisi,0.9779381
plane,0.9781937
retro,0.96220315
glorior,0.96895707
interrogo,0.9901215
ultro,0.9856107
magis,0.98864734
terra,0.97380793
deludo,0.9845169
paucus,0.99542546
scelero,0.9948584
uates,0.9959441
inanis,0.99367476
uita,0.9889785
suborno,0.9702604
mysterium,0.9565259
falsum,0.9779904
simulo,0.9953915
concutio,0.99528694
quidam,0.9925354
maiestas,0.9821476
cano,0.9921646
figura,0.98385555
fatigo,0.9952308
saepe,0.9964
fragor,0.99456096
luxurio,0.99007756
ineo,0.98731494
furia,0.9934137
fingo,0.9965914
dorsum,0.989629
parcus,0.9880531
doctrina,0.97626734
cerno,0.99746567
sano,0.98730755
respicio,0.9886912
cogo,0.99046373
compono,0.99361753
integer,0.96868
ingenium,0.9944833
quoniam,0.95271873
obumbro,0.97663754
populus,0.9616385
supplex,0.9970862
semel,0.99227977
uetustas,0.9895235
procedo,0.9850023
uaticinor,0.97737086
prodo,0.9962926
autem,0.9594584
nullus,0.99232507
multus,0.99455416
superstitio,0.9927279
nefandus,0.9934404
exsequor,0.9833367
naturalis,0.9693781
paenitentia,0.9705855
cultor,0.9939646
magnus,0.9884877
aurum,0.98132133
aedis,0.9873935
quasi,0.9482066
ad,0.9834576
summum,0.9893713
caesar,0.9884528
fugio,0.9950291
transeo,0.9907756
ignis,0.9873851
auctor,0.98402536
scelus,0.993733
consto,0.9882966
formo,0.99204654
tot,0.99591124
modo,0.98799217
soleo,0.9950299
erumpo,0.9872869
uox,0.9912233
muto,0.9969621
tamquam,0.9821935
loquor,0.97218335
auris,0.9855813
prodigium,0.9572122
perdo,0.99601746
ante,0.879902
audacia,0.9919365
gesto,0.9951839
sileo,0.99395305
ullus,0.9939155
reus,0.9671873
gaudeo,0.9919927
accusatio,0.9711949
poena,0.9687856
felicitas,0.9873617
o,0.90323
nimium,0.99503285
uultus,0.994095
prudens,0.97467834
diana,0.9863983
mane,0.96956724
ebrius,0.97522235
crudus,0.97413695
pereo,0.99538976
ars,0.99772465
uiscus,0.9974857
posco,0.9950545
ciuis,0.99175763
detestabilis,0.9642389
adplico,0.97472847
collegium,0.97116745
historia,0.9759193
adorno,0.9877832
diuino,0.9904384
libet,0.99499464
depono,0.98127663
roto,0.99503577
puto,0.99598837
sacerdos,0.97170204
timeo,0.984491
cor,0.98463666
uigeo,0.99723625
sacrarium,0.990193
taceo,0.99632585
culmen,0.99387264
rogo,0.9873048
simulacrum,0.9873016
malo,0.9940618
leo,0.8868392
defunctus,0.974446
lex,0.9594294
legens,0.99060416
fundo,0.98439234
dementia,0.9909358
ignoro,0.98693156
soluo,0.9742059
uasculum,0.9778805
dominor,0.987135
aruum,0.99710387
iuro,0.9786804
purus,0.99079204
serenus,0.99600714
maneo,0.9923303
disputo,0.98985344
saluo,0.957657
seu,0.9588158
rego,0.995432
minuo,0.99025404
iustitia,0.968967
quam,0.99146664
salus,0.9788169
auxilium,0.9833551
porto,0.9919156
fio,0.9922966
aeternus,0.981636
quisquis,0.99340653
sequor,0.99596804
tempus,0.9888545
breuis,0.99044764
postmodum,0.9755582
plango,0.99060595
imus,0.9921768
uis,0.98238474
resurgo,0.9717237
christus,0.9901977
doleo,0.9957562
hebeto,0.98642004
mundus,0.98750186
excurro,0.9873977
sors,0.9875963
auis,0.9915894
fusus,0.9880135
inspicio,0.99091506
cupio,0.9966335
audio,0.9806761
responsum,0.9884482
bonum,0.97096896
crudelis,0.9945159
dux,0.98475707
rex,0.97256434
ubi,0.98851216
consultum,0.8398098
portentum,0.9741801
scindo,0.98663163
quo,0.9887072
prosum,0.9920434
disco,0.9966574
quaeso,0.98855007
caueo,0.9802572
omnipotens,0.98677623
cunctus,0.9939625
certus,0.9815463
aliter,0.96837395
tracto,0.9960763
noceo,0.9964353
noxa,0.9752728
complaceo,0.9545643
altus,0.9918952
probatio,0.95189375
daemon,0.99175936
pars,0.99351996
mandatum,0.9377569
praemitto,0.9896871
paruus,0.9975924
libellus,0.9819057
doceo,0.9946972
medium,0.96871454
intro,0.9825012
seruus,0.9598177
innocens,0.9773987
communis,0.9883807
ubique,0.9832207
paro,0.99624527
circumspicio,0.98324716
barbarus,0.99469584
sine,0.98713464
figo,0.99670196
crus,0.99453974
uerbum,0.9676713
simplex,0.9880924
simpliciter,0.9674172
impleo,0.9869566
exiguus,0.9957638
tuus,0.95604545
domus,0.96470976
prauus,0.992656
paratus,0.97779906
epula,0.9930804
refugio,0.9879886
cena,0.9852932
praeceptum,0.975191
quia,0.97045356
iudico,0.97482634
rector,0.9538428
caelum,0.98217034
quicumque,0.9656536
alium,0.99274397
proprius,0.99235976
os,0.98751134
mercennarius,0.9623527
utor,0.9943101
innocentia,0.98326266
facultas,0.96077967
pateo,0.9951937
inauditus,0.9799745
omnino,0.9909222
prouidus,0.99346066
profanus,0.99393874
aspectus,0.985959
tyrannus,0.99506545
sentio,0.9956462
faio,0.98979497
dubius,0.993201
careo,0.99634117
nudo,0.99587774
luxus,0.99452543
