Token,Cosine Similarity
cogito,0.9829887
ego,0.98051536
et,0.973385
cum,0.9908794
animus,0.9935386
meus,0.95614123
octo,0.98949146
bonus,0.95325947
fidelissimus,0.95990735
contubernalis,0.9432161
memoria,0.9670856
recenseo,0.95779777
tantus,0.9954511
dulcedo,0.98314905
adfectio,0.93884414
homo,0.98421633
inhaereo,0.9817979
ut,0.9858656
ipse,0.98975915
quodammodo,0.9734366
uideo,0.9670352
in,0.98500353
praetereo,0.9819311
redeo,0.9960802
non,0.9855263
is,0.9611138
qui,0.99155855
iam,0.9930054
transigo,0.97853637
decurro,0.9848152
sum,0.9883522
recordatio,0.911569
reuoco,0.980199
ita,0.98370063
contemplatio,0.8894769
quantum,0.9919599
subtraho,0.97287416
oculus,0.9778793
pectus,0.99472153
atque,0.9935433
paene,0.9900309
intimus,0.9724519
sensus,0.99265504
implicatus,0.9160344
neque,0.99319184
inmerito,0.95042694
discedo,0.9890708
uir,0.9711772
eximius,0.9751233
sanctus,0.97848505
immensus,0.98935056
suus,0.9787675
desiderium,0.96381783
nos,0.98232496
relinquo,0.9776804
utpote,0.9568435
noster,0.9542618
semper,0.993832
amor,0.9924442
ludicrus,0.9833463
seria,0.96369565
par,0.9914695
uoluntas,0.96236145
concino,0.96507597
idem,0.9860919
uolo,0.9889049
uel,0.98161745
nolo,0.95958304
credo,0.9822947
unus,0.9926187
mens,0.9945057
duo,0.9926856
quis,0.9716691
hic,0.99243736
res,0.9799758
salto,0.98904437
de,0.9742193
praesens,0.9789397
caput,0.9828388
experimentum,0.9497992
quam,0.991546
uos,0.97434187
inro,0.94753695
pollicitatio,0.9297756
cassus,0.98362565
uotum,0.99180406
decipio,0.9833313
post,0.982833
mors,0.97768724
miser,0.99370444
dum,0.99176043
adhuc,0.98231465
uiuo,0.98953223
aestimo,0.97349095
tamen,0.9886446
quod,0.9865073
uere,0.9633862
malus,0.98571515
ne,0.98822796
quidem,0.97987974
rapio,0.9949379
defendo,0.9832734
pro,0.9821687
audeo,0.98366666
sic,0.9898635
gigno,0.9766444
genero,0.97689575
morior,0.97612095
olim,0.989666
apollinis,0.95924866
facio,0.9820528
citharoedus,0.91534716
diuinus,0.9825346
primus,0.9936143
nascor,0.9911971
insula,0.96899986
delus,0.9364389
offero,0.9666978
merces,0.98040825
postmodum,0.9588859
structura,0.9382256
sequor,0.9908726
rex,0.9730632
troianus,0.97078836
murus,0.97754395
educo,0.9367112
loco,0.9819095
que,0.9943381
sui,0.9935235
deus,0.9804639
seduco,0.5568644
puto,0.99346334
os,0.9794783
cassandra,0.63950044
flagro,0.98088104
subdola,0.840173
ludo,0.9924862
uirgo,0.98888355
fallo,0.9930048
officium,0.9703041
uerbena,0.8298538
possum,0.9842737
scio,0.97207654
repudio,0.97937083
enim,0.9784671
terreo,0.9917444
species,0.9834235
ille,0.9845097
debeo,0.9825983
prior,0.98516035
utique,0.9633777
amo,0.98828
lasciuio,0.97463965
coepio,0.98475176
insequor,0.9790508
uiolo,0.98260796
puella,0.9844355
gratis,0.95486295
stultus,0.95129126
consequor,0.9753361
cursus,0.99269986
si,0.9782238
occurro,0.98780465
per,0.99268
aura,0.9958242
sub,0.99253166
tego,0.9920342
uenio,0.98113954
remaneo,0.97153574
genus,0.9876935
nam,0.9922479
improbus,0.98791146
eo,0.9826083
ab,0.9354447
primitia,0.9141128
quoque,0.97446024
pecus,0.99387825
paueo,0.97550094
refero,0.9943106
omnis,0.9834659
malum,0.97683394
aut,0.99163616
timor,0.97575974
pudor,0.9948183
natura,0.98911834
perfundo,0.95506984
lusus,0.9594498
pono,0.9794107
mitto,0.9673056
discus,0.88850975
alo,0.99357694
,0.89877355
retineo,0.98467433
prosterno,0.9822491
amicus,0.98726493
ultimus,0.9844386
dies,0.7287617
hyacinthus,0.9545864
sodalis,0.9760926
praecedo,0.96935725
liber,0.9738534
pater,0.97683334
certe,0.98031425
bis,0.9900203
dico,0.9603933
indium,0.97554
ex,0.98614323
ioues,0.9782654
proserpina,0.98696667
belligero,0.8505812
contra,0.9683684
titanus,0.8977676
profusus,0.9525867
cruor,0.9920286
expiro,0.9441029
sicut,0.9453608
mortalis,0.9873854
rursus,0.99146855
flo,0.9747409
reddo,0.98963296
alter,0.9924881
uenter,0.9800225
percipio,0.9613609
semelis,0.9356779
iterum,0.98060274
iouus,0.9899832
moecha,0.8990167
abscisus,0.9337864
uterus,0.9520259
prope,0.97250223
partus,0.9860989
defunco,0.9297215
tollo,0.97745574
do,0.9807598
nisus,0.9694437
nutrio,0.989171
alumnus,0.9862376
uoco,0.9719133
religio,0.98970675
uacuus,0.98533344
falsus,0.98243594
curo,0.9845116
bacchor,0.97349775
qualis,0.98605156
nunc,0.9908639
mineruus,0.94491756
conspiro,0.9624679
proludo,0.70746326
furor,0.9761888
ceterus,0.98722476
numen,0.98809683
adsum,0.99383956
manifestus,0.94499314
rudis,0.9863857
suillus,0.96163213
uinum,0.9569046
permuto,0.9514004
primo,0.9892719
exprimo,0.98236585
honor,0.9218898
dedo,0.9792559
denique,0.9842435
maleficus,0.92317927
gestio,0.97238946
latus,0.9831969
deuito,0.9204945
appareo,0.96920455
trepido,0.990047
deprehendo,0.9817243
nego,0.9895201
accuso,0.9744208
facile,0.9914927
confiteor,0.97051305
damno,0.9825766
maereo,0.9861704
dinumero,0.9228449
semet,0.93657357
impetus,0.9836123
ignauia,0.9605777
fatum,0.9917048
astrum,0.98767114
imputo,0.96433467
agnosco,0.9830804
inuictus,0.9774722
petra,0.9247729
habeo,0.9870926
ergo,0.9803616
reticeo,0.9808408
iste,0.99040735
uinco,0.98904943
quaerendus,0.97249234
creator,0.92891484
insuper,0.9614482
fur,0.9677453
depingo,0.96014565
furtum,0.9376542
terrenus,0.97040343
monstruosus,0.9434854
uerto,0.99291134
bos,0.97659993
alienus,0.96877164
antrum,0.9921029
cacus,0.85730433
uulcanus,0.9774343
filius,0.95303094
siluanus,0.9193116
unde,0.9841628
inde,0.9887216
forte,0.9724488
placeo,0.9613371
bene,0.98275036
fistula,0.9688279
canto,0.95540786
lar,0.9634529
igitur,0.9805999
quando,0.9794606
lignum,0.9755073
uenalis,0.9785117
emo,0.9611026
dominus,0.9222138
tu,0.9831375
aspicio,0.9865967
deficio,0.9754914
christianus,0.97879237
uero,0.96661955
similis,0.9819486
pudet,0.98951304
stulte,0.9769566
talis,0.98876125
adoro,0.9693383
tabella,0.93886495
quaero,0.9813016
secedo,0.9639828
factum,0.94517404
hercules,0.95378304
monstrum,0.9838239
auentinus,0.86539865
mons,0.96614206
elido,0.9723722
solitus,0.97999537
armentum,0.9651917
furo,0.991074
rusticus,0.98001266
indocilis,0.9634427
laus,0.9888196
gratia,0.94164044
ago,0.98338854
absum,0.93996173
tono,0.9520489
uoueo,0.9952226
hostia,0.9735652
ineptus,0.97122675
oro,0.9747242
laeto,0.9823886
ara,0.98934424
porrigo,0.9846352
uetustus,0.9783629
mos,0.9931303
colo,0.9845572
sed,0.99263996
licet,0.98098797
fortis,0.97324276
arma,0.9939619
genesis,0.63337296
adscribo,0.9608657
primum,0.990691
sacer,0.9771085
fero,0.9912787
inter,0.99270415
uterque,0.99056673
uia,0.9718941
inmaturus,0.92899865
uagor,0.9792195
tribuo,0.9788047
cur,0.9929285
nemo,0.97947073
paeniteo,0.98466533
nisi,0.9721882
plane,0.9660051
retro,0.93647647
denoto,0.93743813
glorior,0.94687116
interrogo,0.9783724
ultro,0.98291975
uanus,0.98931134
maneo,0.9854612
fabrico,0.96651995
femina,0.98566103
nescio,0.991636
dea,0.9795941
bellonus,0.9158769
nemesis,0.884681
furina,0.68604743
caelestis,0.9816975
uenero,0.9668744
coniunx,0.9917358
uester,0.96619093
alius,0.9841611
praeterea,0.9840404
daemonium,0.86968756
procul,0.9880865
fanum,0.9694156
numero,0.98073447
collum,0.9892715
ratio,0.98262393
pestis,0.98545986
exporto,0.9440437
magis,0.9852109
terra,0.96689665
deludo,0.94901717
paucus,0.98947805
scelero,0.9787129
uates,0.98468137
inanis,0.98649174
extrico,0.7927067
uita,0.9850669
suborno,0.939299
mysterium,0.9392942
falsum,0.9675734
simulo,0.98717284
concutio,0.98821366
