Token,Cosine Similarity
[CLS],0.98205286
amicus,0.99421215
cum,0.9944943
uideo,0.99527705
obliuiscor,0.9856279
miseria,0.9796378
inimicus,0.9767721
si,0.99026346
sum,0.9938458
comminiscor,0.98285913
neque,0.99333763
libens,0.99435914
aeque,0.9699744
[SEP],0.97145486
postremus,0.9913785
dico,0.9834698
primus,0.99393016
taceo,0.99240506
non,0.99379694
tu,0.987182
hinc,0.98728585
abeo,0.9795718
nego,0.99045265
nosco,0.9935103
ego,0.985148
in,0.99154395
suus,0.97975504
quidquid,0.9911564
sedes,0.99029404
gigno,0.98180044
alienus,0.98419833
terra,0.97689164
is,0.97989583
qui,0.9959373
alo,0.9933101
natura,0.98887956
uerto,0.99711716
sui,0.99192536
degenero,0.9791766
igitur,0.9791342
gallicus,0.9846114
onero,0.9937199
arma,0.9960394
sicut,0.9654076
acies,0.98970294
antiochus,0.9858487
cado,0.99329674
uinco,0.9979964
uictor,0.9953187
caedo,0.99505115
magis,0.988268
uereor,0.9926958
ne,0.98800623
parum,0.9837216
inde,0.97679687
gloria,0.96867967
quam,0.9916978
nimium,0.9895264
bellum,0.99361455
attalus,0.9870114
rex,0.97205144
saepe,0.99373275
fundo,0.9880934
fugo,0.9931754
que,0.9894824
nolo,0.98537886
existimo,0.99045146
belua,0.9931288
tantum,0.9892329
recens,0.98626345
capo,0.98303443
feritas,0.9931171
ille,0.9917065
siluestris,0.99348
primo,0.9775015
seruo,0.9961427
dein,0.98120314
diu,0.9918964
manus,0.97838616
humanus,0.98827595
mitesco,0.9888454
homo,0.98246026
mulceo,0.99215114
idem,0.99037474
-ne,0.9803659
hic,0.99442863
credo,0.98240423
pater,0.9746493
avus,0.892669
extorreo,0.96696234
inopia,0.9875861
ager,0.9792563
domus,0.9600852
per,0.9913481
asperrimus,0.98130697
illyricum,0.98251116
ora,0.98428786
et,0.98858374
pugno,0.9936092
ferocissimus,0.96883273
gens,0.9849771
emendo,0.9905777
capio,0.9950581
duro,0.9912306
tot,0.99570566
malus,0.9909507
exaspero,0.97917485
accipio,0.99300814
copia,0.9865556
omnis,0.97613406
res,0.9855227
sagino,0.98185444
uberrimus,0.9847003
mitissimus,0.9795874
caelum,0.9816542
clemens,0.9483067
accola,0.9851153
ingenium,0.99248385
uenio,0.9926906
uos,0.98270583
hercules,0.98413736
martius,0.99266845
uir,0.98764724
cauendus,0.9864646
atque,0.991526
fugiendus,0.97824633
primum,0.9919933
amoenitas,0.9841441
asia,0.99326926
peregrinus,0.98733294
uoluptas,0.9922859
ad,0.99040055
extinguo,0.9930758
uigor,0.9919454
animus,0.99478745
possum,0.99179107
contagio,0.971619
disciplina,0.98636925
mos,0.9938302
ualeo,0.98911226
meus,0.9488297
tamen,0.99255764
feliciter,0.9813975
euenio,0.9930072
quod,0.99254924
uis,0.9771789
aduersus,0.9777194
nequaquam,0.9513174
ita,0.9882416
fama,0.99266505
apud,0.98729587
graeci,0.99212825
paro,0.9955988
antiquus,0.98676884
obtineo,0.98588127
inter,0.9939361
socius,0.9857554
habeo,0.99152446
specimen,0.9797217
gallus,0.9817778
contio,0.9867824
dimitto,0.98179203
mitto,0.98143
legatus,0.96227366
unus,0.9850096
ex,0.9880558
regula,0.9717558
maneo,0.9936195
amicitia,0.98860365
romanus,0.97664547
auxilium,0.9879663
castra,0.9822234
moueo,0.99639326
dies,0.8831446
flumen,0.9925754
posterus,0.9523063
uicus,0.98653173
uoco,0.99474096
eo,0.9881867
peto,0.9928889
ducenti,0.9899455
talentum,0.97824156
imperatum,0.9504992
precor,0.9931729
ut,0.9918506
renuntio,0.9810866
potestas,0.97859824
facio,0.9869424
duco,0.9917142
exercitus,0.96526504
consul,0.9842856
intendo,0.98917246
deinde,0.9894837
pono,0.9943907
redeo,0.99525005
regulus,0.991918
oro,0.9824499
infero,0.983595
ipse,0.9884682
datum,0.97401726
uenia,0.9929137
coeo,0.9944547
ab,0.97594273
nomen,0.98937225
lignum,0.9775059
modus,0.9907824
quisquam,0.98842275
sed,0.993045
spina,0.9781138
quidem,0.96768814
aut,0.99567455
ullus,0.9896121
alius,0.9879894
alimentum,0.98983383
fero,0.9948207
ignis,0.9868493
fimus,0.9804545
bubulus,0.98450994
pro,0.98667127
utor,0.99488944
castellum,0.97685146
appareo,0.98863876
magnus,0.9910234
tumultus,0.97927135
hostis,0.98870605
eques,0.9896116
turbo,0.99459994
statio,0.96062034
repens,0.9920648
quidam,0.99042225
etiam,0.98557115
occido,0.9935372
perfero,0.99326515
effundo,0.985638
porta,0.9670533
equitatus,0.98425794
aliquot,0.9811217
fugio,0.9951315
hercle,0.9350928
dica,0.98528993
adduco,0.9840641
iam,0.99353355
peruenio,0.9887367
cerno,0.99600923
exploro,0.9908956
cura,0.9927777
coaco,0.97070956
agmen,0.9847913
procedo,0.98908854
contineo,0.9920112
iter,0.9900625
pons,0.99379134
quia,0.96969897
uado,0.9532968
nusquam,0.99102277
transitus,0.9657895
instituo,0.9825399
mons,0.98113817
phrygia,0.9746598
fluo,0.9949494
misceo,0.995693
bithynia,0.9879935
fluuius,0.9921513
gemino,0.99377704
aqua,0.9855385
propontis,0.9866191
tam,0.9736412
magnitudo,0.98630136
memorabilis,0.9855972
piscis,0.98666507
ingens,0.99365985
praebeo,0.9934472
transgredior,0.9747972
perfectus,0.97999585
praeter,0.9896175
ripa,0.99347174
iens,0.96943563
galli,0.9873594
mater,0.9879459
occurro,0.9943798
insignis,0.9890225
uaticinor,0.9879803
carmen,0.9954265
dea,0.99093896
uia,0.9831988
uictoria,0.99512964
do,0.9912241
imperium,0.9875941
regio,0.9873514
omen,0.99208844
locus,0.98876363
haud,0.98119104
oppidum,0.98474133
plus,0.99279517
mediterraneus,0.9660597
celeber,0.99006
frequens,0.98417306
tres,0.9855593
mare,0.989209
par,0.99389696
fermes,0.9524134
distantia,0.9305307
interuallum,0.99336344
hellespontus,0.9758981
alter,0.9924579
litus,0.9961984
qua,0.9908231
maritimus,0.9767411
colo,0.9925794
multus,0.9929151
praeterea,0.9913334
finis,0.98774624
contingo,0.9957642
commercium,0.99179685
mutus,0.96448904
usus,0.9890794
contraho,0.97299075
tum,0.9894876
desero,0.9854429
fuga,0.9896245
incola,0.9899514
refertus,0.9764809
inuenio,0.9938222
ibi,0.9797212
statiuus,0.9584724
nuntio,0.9845493
profectus,0.9347388
nihil,0.99495727
aequum,0.98106915
impetro,0.98819995
campester,0.9451914
coniunx,0.99416053
liber,0.9857802
ago,0.9876102
prae,0.96111876
porto,0.9861124
olympus,0.9953072
pariter,0.9894764
soleo,0.995362
certior,0.98017067
postea,0.9894309
adfero,0.985224
ciuitas,0.97770727
diuersus,0.99117523
depono,0.9910525
armo,0.9932943
statuo,0.9903933
autem,0.9806351
tunc,0.98802364
populus,0.9590146
ius,0.9793309
ratio,0.9899451
sumo,0.99498034
teneo,0.9943729
conueho,0.9626107
quamuis,0.990199
longus,0.99668264
tempus,0.98983
sufficio,0.99127144
taedium,0.98689556
fatigo,0.99532354
censeo,0.9624081
nam,0.99032354
audeo,0.99515164
arduus,0.99324644
iniquus,0.9877278
subeo,0.99477375
conor,0.99422115
uel,0.9818665
paruus,0.99764997
altitudo,0.96627295
tutor,0.92615795
fossa,0.99044085
quoque,0.98528045
munimentum,0.9831213
uertex,0.99592876
insideo,0.98610866
minimus,0.9923196
apparatus,0.9904963
missilis,0.9883614
telum,0.9969079
saxum,0.99522316
adfatim,0.960078
asperitas,0.9893575
comminus,0.99017787
pugna,0.9888506
procul,0.9864218
praecipio,0.97870094
pilum,0.99028516
hasta,0.99103564
sagitta,0.9911835
glans,0.9864284
modicum,0.94192785
lapis,0.98970187
instructus,0.9854017
quinque,0.9861342
mi,0.959004
quadringenti,0.98266554
progressus,0.9397399
situs,0.98960865
duplex,0.9860134
numerus,0.98713547
effudo,0.9741552
auerto,0.9885722
paucus,0.99211866
uulnero,0.99427766
tertius,0.99208754
proficiscor,0.99197274
nemo,0.9867202
extra,0.98915744
tuto,0.9837781
animaduerto,0.9949963
meridianus,0.9847331
terrenus,0.980391
placide,0.9800543
collis,0.9910649
septentrio,0.9751561
rego,0.9951842
prope,0.9828883
rupes,0.9966357
contemplor,0.99179715
sub,0.9901314
radix,0.98548007
sacrificium,0.9488709
hostia,0.97472715
lito,0.98868454
pergo,0.9840159
maximus,0.9584791
pars,0.99213445
aequus,0.99478656
aditus,0.9709383
ascendo,0.9657784
l.,0.9949143
manlius,0.9726589
frater,0.97967625
hibernus,0.98908335
ortus,0.9933327
quoad,0.9804417
patior,0.99397045
iubeo,0.9926122
periculosus,0.993104
praerumpo,0.99203163
iniquitas,0.88410324
ob,0.9779516
aetas,0.990749
gradus,0.9778676
profero,0.9939867
propero,0.9933587
diuido,0.99676794
iuuenis,0.9976586
elephantus,0.9842977
proximus,0.9850331
tumulus,0.98443985
planities,0.97624457
relinquo,0.99461466
edictum,0.97110105
praeficio,0.9853719
