Token,Cosine Similarity
abdico,0.9449018312962715
abditus,0.9588112208260573
abdo,0.9786070651972465
abduco,0.9745588575015616
abeo,0.9560499754986704
aberro,0.9605576933901018
abhinc,0.9233246415329588
abhorreo,0.9761301770493853
abicio,0.9828609466783795
abiectus,0.8578289985220948
abies,0.9621270226433762
abigo,0.9850039273744321
abiicio,0.9291217594052841
ablaqueo,0.9160364333484587
ablego,0.952362111958722
abluo,0.9565163382731297
abnego,0.8905508784282752
abnueo,0.9281454087009894
abnuo,0.9748933746264442
aboleo,0.9739277856353246
abominor,0.865938492492655
abrado,0.9358598678476988
abripio,0.9763953710079192
abrogo,0.9441486919989225
abrumpo,0.9759003351113475
abscedo,0.9716037613440516
abscido,0.9626576972082749
abscindo,0.9696658775272722
abscondo,0.9516738594146695
absens,0.9353554039663549
absentia,0.9686447949762799
absinthium,0.9633787028127243
absisto,0.9565865806249783
absoluo,0.9769459965494621
absolute,0.874921688671699
absolutio,0.9591321837314765
absolutus,0.9550603613036042
absorbeo,0.932000825603881
abstergeo,0.9655316089319648
abstinentia,0.9537635532024817
abstineo,0.9766305728148916
abstraho,0.974631710835982
abstrudo,0.9784210860411262
absum,0.9779665245668707
absumo,0.976653652946379
absurde,0.9618890972881771
absurdus,0.9611140049535682
abundans,0.9437886229038281
abundantia,0.9621754989821414
abunde,0.9382383651445851
abundo,0.9809758862039162
abutor,0.9731193627922542
academia,0.9647072297781382
accedo,0.9771240445811086
accelero,0.968186415743957
accendo,0.982572281020039
accensus,0.9323804480369124
acceptus,0.927017144593606
accerso,0.9160058022926818
accessio,0.9358973466941014
accessus,0.9787615066264096
accidens,0.8754336522517312
accido,0.9857481808419035
accingo,0.9400443409862187
accio,0.9797581061558323
accipio,0.9782795461174936
accipiter,0.9501196937602125
accipus,0.9931997431883982
accius,0.9646783948815787
acclamatio,0.9656732683671194
acclamo,0.9565533223868983
accola,0.9756170705185561
accolo,0.9519911775581343
accommodo,0.9528113976657859
accubo,0.9345812147417919
accumbo,0.9679583102088914
accumulo,0.9542930133028584
accurate,0.9107365490446966
accuro,0.9058828615451757
accurro,0.9832996202391517
accusatio,0.9610851456042191
accusator,0.9648660547473065
accuso,0.9776086091455313
acer,0.9896286919950388
acerbe,0.972880481031001
acerbitas,0.9819498006304183
acerbo,0.956054422408505
acerbus,0.9818531074291568
aceruo,0.9756400493218877
aceruus,0.9791531713029072
acetabulum,0.9327225133892436
acetum,0.9195958666735838
achaei,0.9917645897573957
achaia,0.9938697757333537
achaicus,0.9887788842215596
achates,0.7325659624864215
achelous,0.969225456376339
acheron,0.9884495986695473
achilles,0.9941438766924386
achilleus,0.9048103973060795
achiui,0.9843261127223644
achiuus,0.9753631614889551
acidus,0.9596425633003363
acies,0.9734439450621625
acinus,0.9631380446519977
acquiesco,0.9101917568749424
acquiro,0.9496287258639928
acriter,0.9726990289622096
actiacus,0.9888150962750151
actio,0.9046189468685953
actor,0.9425398166029987
actum,0.940984852422031
actus,0.9640509241068524
actutum,0.9190481885226371
aculeus,0.9688619989671658
acumen,0.9814112358115412
acuo,0.9729358314392236
acus,0.9584099258530814
acutus,0.9769324356024114
adaequo,0.93542680397391
adamas,0.9678466066349938
