Token,Cosine Similarity
amicus,0.9919811
cum,0.9932887
uideo,0.987074
obliuiscor,0.9669446
miseria,0.9819898
inimicus,0.9755637
si,0.98681104
sum,0.9915145
comminiscor,0.9683167
neque,0.9934057
libens,0.99199843
aeque,0.9673156
postremus,0.9804244
dico,0.96882045
primus,0.9934346
taceo,0.9891113
corruo,0.97492015
quasi,0.96179044
ictus,0.9940223
,0.9335778
praecido,0.9808344
perna,0.9708175
callus,0.78937733
desino,0.9937749
socrus,0.98104167
tuus,0.9687647
frater,0.97712046
patruelis,0.96483684
meus,0.9607605
populus,0.95399725
patior,0.987265
tu,0.9864056
patio,0.9267126
sed,0.9911423
ita,0.9868201
ut,0.98837614
occipio,0.9288858
narro,0.97951996
uos,0.97443116
hic,0.99174416
non,0.991753
adsum,0.99234366
delibero,0.9820322
iam,0.9924265
et,0.9819168
cognatus,0.9897854
quis,0.9852405
arguo,0.982229
siue,0.96742785
enim,0.9767325
abscedo,0.98006
qui,0.99330074
dubius,0.98226947
quin,0.97139674
hostis,0.9869218
demergo,0.9835708
moles,0.99139297
minor,0.98604023
aperio,0.9880834
portus,0.99013317
quam,0.9913391
obstruo,0.9848397
sin,0.9379307
autem,0.9648207
maneo,0.99120164
ibi,0.9807637
nihilum,0.9508806
minus,0.98163986
attineo,0.97018856
claudo,0.9925101
contra,0.9719672
ille,0.98679763
tutus,0.99197644
opulentissimus,0.9613117
urbs,0.98533976
fruor,0.9909298
omnis,0.9861171
asia,0.9925691
praebeo,0.99134964
quietus,0.98241925
aestiuo,0.9754349
ago,0.9889102
romanus,0.9833777
in,0.99046004
mare,0.9874413
fluctus,0.9951102
tempestas,0.9882579
que,0.996074
obieco,0.9286408
inops,0.98777044
adsiduo,0.9898747
statio,0.97907114
ipse,0.9884578
magis,0.9849039
adligatus,0.793473
impedio,0.9849119
ne,0.984588
is,0.9722406
agendus,0.9819522
possum,0.99209005
praefectus,0.9729518
rhodia,0.8144975
classis,0.9919918
sui,0.9929588
displico,0.97904444
sententia,0.98046887
ostendo,0.9904524
censeo,0.9286453
facio,0.9876873
rhodius,0.97292364
omitto,0.98715127
praesentia,0.9363748
ephesus,0.9683625
mittendus,0.9623464
nauis,0.98612845
pars,0.99224603
lycia,0.98105156
patara,0.90183675
caput,0.9910842
gens,0.98081684
societas,0.98801696
adiungo,0.9890887
duo,0.9917502
magnus,0.9910426
res,0.98366654
usus,0.9880991
paco,0.98156106
insula,0.9910097
suus,0.98407817
terra,0.97637963
totus,0.99246544
uis,0.9702703
incumbo,0.9861767
unus,0.988352
bellum,0.99257076
aduersus,0.9757581
antiochus,0.9831329
cura,0.99310505
cilicium,0.90554976
comparo,0.9800924
intercludo,0.9767885
coniungo,0.98834836
moueo,0.9923422
placeo,0.9819269
tamen,0.9893161
eueho,0.98011327
ad,0.98989224
infero,0.9799198
terror,0.98182034
c.,0.87757254
liuius,0.97132826
quinqueremes,0.88511467
quattuor,0.98727703
quadriremis,0.8576306
rhodium,0.9832208
mitto,0.9819722
rhodus,0.9644003
prior,0.9883716
iussus,0.98430365
adeo,0.98301804
communico,0.9430884
consilium,0.9850159
ciuitas,0.96042424
praeteruehor,0.91566324
miletus,0.9594494
cnidus,0.9202431
cous,0.8194287
imperatum,0.95855623
enixe,0.92008877
uenio,0.9855585
simul,0.9804162
expono,0.9879854
consulo,0.98948586
egomet,0.9316136
approbo,0.9667629
cunctus,0.98805755
habeo,0.99317276
adsumptus,0.9751709
tres,0.99109626
nauigo,0.99120736
primo,0.97524536
secundus,0.9699105
uentus,0.9888762
fero,0.9939254
spero,0.9881497
subito,0.99159694
aliquis,0.9847661
postquam,0.98154354
circumago,0.9706171
uolo,0.9890777
coepio,0.98804677
peruinco,0.92657244
quidem,0.9571308
remus,0.98520106
teneo,0.9895966
circa,0.9770063
ante,0.7640567
ostium,0.97405374
salum,0.977643
sto,0.9868932
aspero,0.96509624
nox,0.9921416
moenia,0.98855007
parum,0.9760016
mille,0.9852503
spatium,0.99262595
inde,0.97583723
disto,0.9935752
peto,0.994632
ab,0.975771
maritimus,0.9784034
altus,0.98998857
insuper,0.96103203
inmineo,0.96976537
rupes,0.99480087
celeriter,0.97227246
oppidanus,0.98307085
regia,0.9812577
miles,0.9872288
praesidium,0.97628903
capio,0.99203575
quamquam,0.97307485
iniquus,0.9814675
atque,0.98915416
difficilis,0.988155
exitus,0.9890329
locus,0.98948133
auxiliar,0.9492598
expeditus,0.9725411
iuuenis,0.9954104
dum,0.9885899
missilis,0.9846776
paucus,0.9875103
leuis,0.9908725
lacesso,0.9909346
consero,0.9871969
pugna,0.9906727
sustineo,0.9829884
certamen,0.98647213
plus,0.9926562
ex,0.98841894
adfluo,0.94385797
multitudo,0.9821267
effundo,0.97821724
timor,0.9709207
incedo,0.9773439
auxiliaris,0.9719387
circumuenio,0.979068
etiam,0.9830568
periculum,0.98721117
solus,0.9930806
naualis,0.97968656
socius,0.98154247
remex,0.9759158
turba,0.9856046
quisque,0.987045
telum,0.9967095
armo,0.98896307
proelium,0.9916624
educo,0.9710246
tum,0.9880682
quoque,0.97958577
anceps,0.989605
solum,0.98620874
aliquot,0.9796481
l.s,0.9947405
tumultuarius,0.9559636
cado,0.98643804
fudo,0.9544598
fugatus,0.9182294
lycius,0.9418216
compello,0.9612611
haud,0.9775452
incruentus,0.9640093
uictoria,0.99343354
proficiscor,0.9855945
sinus,0.99254173
latus,0.994615
caria,0.8385824
alter,0.9880486
contingo,0.9902402
ample,0.97968084
tempto,0.99014807
domus,0.9639196
dimitto,0.9703505
graecia,0.99380356
transmitto,0.9775865
conuenio,0.9806496
scipio,0.9868895
thessalia,0.98574364
italia,0.98660135
traicio,0.983094
aemiliter,0.96442664
lycium,0.94220513
profectus,0.9477536
cognosco,0.984669
repello,0.9893129
irrio,0.7906842
inceptum,0.97220343
samus,0.96197045
reuerto,0.9694662
turpis,0.98699
ratus,0.94562334
frustra,0.98534745
summus,0.9889105
adgredior,0.9911957
statuo,0.97391
ceterus,0.9898286
ora,0.9799507
ego,0.98242044
regius,0.98506033
ager,0.98459524
hostiliter,0.9827516
depopulo,0.9726529
deinde,0.98847526
per,0.9919735
colloquium,0.9824469
princeps,0.9803013
magistratus,0.97892934
animus,0.9933394
nihil,0.99309546
potestas,0.98197204
respondeo,0.95685065
oppugnandus,0.95908463
duco,0.9942097
exul,0.9899117
ii,0.8555395
frequens,0.97749376
oro,0.97839886
insisto,0.9826644
uicina,0.992934
innoxius,0.9862209
pereo,0.9867448
sino,0.9882714
exilium,0.97141755
nullus,0.99141717
alius,0.98882866
causa,0.98636794
fides,0.97851586
erga,0.9667891
idem,0.9850021
pello,0.9908991
mens,0.9905991
seruitus,0.9822553
effugio,0.98950005
moio,0.7649349
prex,0.98900545
eumene,0.98102635
rex,0.9726981
necessitudo,0.9809245
commemorandus,0.8082588
obsesdo,0.91452104
regio,0.98737586
casus,0.9789891
misero,0.99233806
oppugnatio,0.97591627
