Token,Cosine Similarity
amicus,0.98940504
cum,0.9908918
uideo,0.98195434
obliuiscor,0.95475316
miseria,0.97372806
inimicus,0.96318007
si,0.98477954
sum,0.9892763
comminiscor,0.9544251
neque,0.99003524
libens,0.9876021
aeque,0.96163684
postremus,0.9712531
dico,0.96207076
primus,0.9916009
taceo,0.98707527
sicina,0.9382677
non,0.98957527
ego,0.9776375
quidem,0.9510685
facio,0.9824296
auctor,0.97822773
hodie,0.90742075
ut,0.9861764
ille,0.9842818
decipio,0.9874394
etiam,0.9791771
-no,0.95675623
impudens,0.95840687
muttio,0.886199
uerbum,0.97535187
unus,0.98348117
audeo,0.9881644
aut,0.991485
loquor,0.9642328
consul,0.9717561
in,0.9878996
hiberna,0.9661131
exercitus,0.95045114
magnesius,0.88369906
ad,0.987498
maeandrus,0.79477787
et,0.9795077
trallus,0.57771456
ephesus,0.9576097
que,0.99342954
paucus,0.9822371
post,0.9819525
dies,0.85676664
obses,0.97382814
ab,0.96894914
rex,0.9658605
adduco,0.96078557
legatus,0.9519439
qui,0.99148905
roma,0.9697598
eo,0.9841936
uenio,0.97952294
eume,0.9806278
quoque,0.9752009
idem,0.9815573
tempus,0.98556113
proficiscor,0.9773021
sequor,0.9880596
is,0.96552026
legatio,0.966874
omnis,0.98020643
asia,0.98902357
populus,0.94419014
dum,0.9871913
hic,0.9898886
gero,0.97854745
duo,0.98673266
fere,0.96871567
sub,0.98718166
triumphus,0.983268
spes,0.97976506
proconsul,0.94365466
de,0.97430813
prouincia,0.9306254
redeo,0.9883467
q.,0.98635995
minucius,0.9651084
ex,0.9850799
ligus,0.86672014
mx,0.924158
acilius,0.95817316
aetolia,0.79801846
audio,0.970837
uterque,0.9888164
res,0.97949016
nego,0.9846039
acilium,0.9096806
magnus,0.9880416
consensus,0.95324045
decreo,0.8935342
triumpho,0.9766193
antiochus,0.9765227
aetolum,0.98386025
urbs,0.9800879
praefero,0.9865093
signum,0.97747874
militaris,0.97390157
ducenti,0.9852687
triginta,0.97521526
argentum,0.9423223
infcio,0.7003691
tres,0.98662883
mille,0.9782686
pondus,0.9859221
signo,0.98868954
,0.918599
atticus,0.8850579
centum,0.9859146
decem,0.9826077
uas,0.97191954
argenteus,0.9690194
caelo,0.9390583
multus,0.9879617
fero,0.9900537
suppellectilis,0.5233794
captiuus,0.98443687
nobilis,0.9849599
aetolus,0.9712828
regius,0.98008657
dux,0.98528254
sex,0.9796612
duco,0.99122775
ante,0.7090124
carcer,0.98199517
noctu,0.9750991
effugio,0.9840591
ripa,0.9911792
tiberus,0.94603115
consequor,0.9667421
custos,0.98575807
priusquam,0.96120274
comprehendo,0.9860015
gladius,0.96438164
sui,0.98979914
transfigo,0.96878415
quis,0.9817877
tandem,0.97402143
admitto,0.98014796
miles,0.9819067
tantum,0.9837692
currus,0.9792048
desum,0.9889353
alioqui,0.9405724
magnificus,0.9461329
spectaculum,0.9873055
fama,0.9884701
minuo,0.984585
laetitia,0.9752915
nuntius,0.96363425
hispania,0.9650053
tristis,0.9935599
aduerto,0.98871493
pugna,0.9863584
ductus,0.9250933
l.s,0.99138266
aemilium,0.87195307
apud,0.9844541
oppidum,0.98171365
lusitanus,0.95595133
romanus,0.9749845
cado,0.9814407
ceterus,0.9836961
paueo,0.97699726
intra,0.9781004
uallum,0.9780004
compello,0.9539424
aegre,0.97170186
castra,0.9759195
defendo,0.98213494
nuntio,0.975166
gallium,0.9174383
placentinus,0.77619374
cremonensis,0.8772035
aurunculeius,0.87243587
praetor,0.9431309
senatus,0.9762062
introduco,0.94353867
queror,0.9880638
inopia,0.9846145
colonus,0.9646121
alius,0.9855354
bellum,0.98870516
casus,0.9751927
morbus,0.986518
absumo,0.97910726
quidam,0.9827524
taedium,0.9814012
accola,0.9631193
gallus,0.98407125
relinquo,0.98659647
colonia,0.9671184
decerno,0.92125386
utor,0.9870184
c.,0.860523
laelius,0.9382684
familia,0.9559319
conscribo,0.78689253
diuido,0.9882646
creo,0.93290937
m.,0.97164345
atilis,0.95605016
serranus,0.9321806
ualerius,0.89330643
p.,0.95624
f.,0.6639272
flaccus,0.9494985
haud,0.9707269
ita,0.98233783
multo,0.97872066
iam,0.9855125
consularius,0.90309274
comitium,0.94726765
appeto,0.96230483
solum,0.9798064
absens,0.9718724
consulto,0.9680873
supplementum,0.95565706
cremona,0.92592824
placentia,0.85849845
scribo,0.97670597
sed,0.9884032
novus,0.96746135
ager,0.9767626
boius,0.7640992
deduco,0.98158914
refero,0.98576057
pater,0.9655847
censeo,0.91947585
littera,0.9754654
naualis,0.97159386
scipio,0.97922176
uictoria,0.9892619
ergo,0.9650384
supplicatio,0.8923338
alter,0.98652875
quod,0.98539793
tum,0.9844172
primum,0.9868134
pono,0.98261416
prosperus,0.9703196
laeto,0.9812918
euenio,0.98440194
rogo,0.9814863
uiceni,0.9588225
maior,0.98409843
hostia,0.9664103
singulus,0.97200054
sacrifico,0.9449027
iussus,0.9780569
inde,0.96729946
comitia,0.94384444
contentio,0.96649814
habeo,0.99046737
aemilius,0.9626724
lepidus,0.97535765
peto,0.9912414
sicilia,0.9802205
causa,0.98130244
licet,0.9665377
fulviter,0.54054314
cn.t,0.99207133
manlius,0.94815576
uello,0.97863114
fulvus,0.91076213
centuria,0.97444403
posterus,0.8951807
deiectus,0.98553044
nam,0.9828474
messalla,0.93146837
iaceo,0.9933895
collega,0.9739846
exinde,0.91903555
factum,0.95364296
fabius,0.9721798
labeo,0.9090383
pictor,0.97130346
flames,0.9610491
-ne,0.96782255
quirinalis,0.9576491
annus,0.9765847
inauguro,0.9284471
sempronius,0.9501107
tuditanus,0.9554981
spo,0.5558541
.,0.9607053
postumius,0.97716355
albinus,0.85215855
hypsaeus,0.84164655
fulvius,0.9442449
nobilior,0.9603221
manlium,0.97483397
antiae,0.93630135
rumor,0.9852223
celebris,0.9313545
paene,0.98394275
pro,0.9826089
certus,0.9884547
habitus,0.9824327
recipio,0.980592
adulescens,0.98055524
africanus,0.9766057
colloquium,0.97512925
euoco,0.9628867
ips,0.89113104
ob,0.97776365
tollo,0.98141617
animus,0.9907757
abnueo,0.95828646
imperatum,0.939026
princeps,0.9720037
macedonia,0.9849956
dardanus,0.9676643
thraecia,0.8294356
conducendus,0.8037044
merces,0.9734041
auxilium,0.9763111
a.,0.7174595
tero,0.9685069
uarronis,0.90847415
claudius,0.9619657
cornelius,0.9657808
missus,0.97292674
subtexo,0.95533884
deinde,0.9843903
fabula,0.9869122
inter,0.99233514
interrogo,0.9798074
unde,0.973047
imperator,0.593426
capio,0.9882115
deleo,0.96582294
respondeo,0.9484296
suus,0.9788937
cer,0.7734755
homo,0.9779724
audacia,0.9732713
quia,0.9590932
nemo,0.9795105
meus,0.9486413
opinio,0.97881603
uanus,0.98215497
praetermitto,0.97379804
fortuna,0.99028486
hortor,0.9850811
confitendus,0.84939194
seu,0.9309524
culpa,0.98147404
siue,0.95734835
error,0.98383653
uenia,0.98529834
supplex,0.9836908
beneficium,0.96791816
prope,0.97493124
exprobro,0.96572316
uirtus,0.9719428
philippus,0.93470323
offendo,0.9868905
auris,0.9828708
inso,0.7650138
senator,0.96889555
arbitrium,0.9764025
socius,0.97395647
hostis,0.981695
nihil,0.9902271
egredior,0.9646433
templum,0.97483057
iubeo,0.98173034
