Target Word,Neighbor,Cosine Similarity
scriptura,scribo,0.9000437
scriptura,lectio,0.8991123
scriptura,historia,0.89444155
scriptura,littera,0.88723296
scriptura,tabula,0.8797624
scriptura,epistola,0.8695189
scriptura,lex,0.868596
scriptura,prophetia,0.8684471
scriptura,lego,0.86793315
scriptura,liber,0.86709476
lectio,lego,0.93046427
lectio,narratio,0.9247766
lectio,meditatio,0.9232768
lectio,disputatio,0.9157816
lectio,descriptio,0.9153862
lectio,oratio,0.9148629
lectio,cognitio,0.91389287
lectio,locutio,0.9127852
lectio,doctrina,0.91045606
lectio,editio,0.9101112
deus,diuinus,0.90259826
deus,dea,0.8965368
deus,dominus,0.8924575
deus,iouis,0.89239717
deus,que,0.8889256
deus,numen,0.8854682
deus,diuinitas,0.8840534
deus,divinus,0.8822086
deus,creator,0.8809759
deus,diuino,0.8754045
dominus,deus,0.8924575
dominus,domina,0.89142704
dominus,que,0.88186705
dominus,dominor,0.8717023
dominus,dominicus,0.87014484
dominus,pharao,0.86853707
dominus,dauid,0.86562854
dominus,ios,0.86477256
dominus,famulus,0.8613611
dominus,augustus,0.86038876
creator,conditor,0.92818046
creator,factor,0.9199581
creator,creo,0.9154087
creator,saluator,0.9152803
creator,redemptor,0.9083406
creator,rector,0.89688474
creator,auctor,0.89520943
creator,numen,0.89335513
creator,parens,0.8893148
creator,genitor,0.8890096
factor,dator,0.9444014
factor,ultor,0.93498427
factor,praesul,0.9305879
factor,cultor,0.92834395
factor,fautor,0.924904
factor,ductor,0.92475027
factor,spectator,0.91998994
factor,creator,0.9199581
factor,raptor,0.9189359
factor,praeceptor,0.9161859
deductor,assertor,0.9006502
deductor,reparator,0.8991786
deductor,adsertor,0.898697
deductor,debellator,0.8959043
deductor,benefactor,0.8941002
deductor,largitor,0.88416326
deductor,inuentor,0.88273126
deductor,gestator,0.881106
deductor,indagator,0.8799916
deductor,seruator,0.8787378
oratio,oro,0.922012
oratio,dictio,0.916088
oratio,locutio,0.91554344
oratio,lectio,0.9148629
oratio,supplicatio,0.9108023
oratio,confessio,0.90515083
oratio,responsio,0.9023037
oratio,narratio,0.90212196
oratio,prex,0.9018538
oratio,compositio,0.9010751
lex,lego,0.90172726
lex,praeceptum,0.8988534
