Token,PRT
cogito,1.0173056766223534
ego,1.0198718346964477
et,1.0273427515922475
cum,1.009204534257833
animus,1.006503402881981
meus,1.0458705942403488
octo,1.0106201394236654
bonus,1.0490323290631425
fidelissimus,1.0417672048802535
contubernalis,1.060202445063174
memoria,1.0340346295138048
recenseo,1.0440617380600627
tantus,1.0045696943960738
dulcedo,1.0171397697075342
adfectio,1.0651395186560813
homo,1.0160367868772637
inhaereo,1.0185395859052742
ut,1.0143370527832998
ipse,1.0103468130222435
quodammodo,1.0272882755323498
uideo,1.0340885486938676
in,1.0152247870684648
praetereo,1.0184014029320017
redeo,1.0039352053947672
non,1.0146862405793309
is,1.0404595054553807
qui,1.0085133129016388
iam,1.0070438741824215
transigo,1.02193442502325
decurro,1.015418953730671
sum,1.0117850910980823
recordatio,1.097009662217962
reuoco,1.0202010214648698
ita,1.016569438306112
contemplatio,1.1242562963103935
quantum,1.008105237212635
subtraho,1.0278821623661631
oculus,1.0226211092806257
pectus,1.005306478208134
atque,1.006498632692481
paene,1.0100694992559285
intimus,1.0283284695173214
sensus,1.007399308802192
implicatus,1.0916620593008808
neque,1.0068548305304557
inmerito,1.0521587320023094
discedo,1.011049994775174
uir,1.029678187514768
eximius,1.0255113523629245
sanctus,1.0219880234560197
immensus,1.0107640740623818
suus,1.0216930838656906
desiderium,1.0375404602793536
nos,1.017993070430719
relinquo,1.0228291527856144
utpote,1.0451029921193136
noster,1.0479304748275062
semper,1.0062062882855154
amor,1.007613307291196
ludicrus,1.0169357599095104
seria,1.0376720127806989
par,1.0086038930394663
uoluntas,1.0391106115505595
concino,1.0361878560865572
idem,1.0141042513795284
uolo,1.0112195891392424
uel,1.0187267955276422
nolo,1.0421192894126217
credo,1.0180244499905038
unus,1.0074362090381903
mens,1.005524650619594
duo,1.0073682784011362
quis,1.0291569658558861
hic,1.0076202666420666
res,1.0204333413254185
salto,1.0110769871245882
de,1.0264629095397844
praesens,1.0215133656273612
caput,1.0174608392994753
experimentum,1.0528541411959822
quam,1.0085261046921619
uos,1.0263338069036867
inro,1.0553678196030554
pollicitatio,1.0755283367970068
cassus,1.0166469322829874
uotum,1.0082636651562038
decipio,1.0169512319456657
post,1.017466824652885
mors,1.0228219817629476
miser,1.0063354469884522
dum,1.0083080217842693
adhuc,1.0180037565596443
uiuo,1.0105785010067707
aestimo,1.027230912070362
tamen,1.0114858262376902
quod,1.013677246468247
uere,1.0380053428405158
malus,1.0144918632475077
ne,1.0119122682092103
quidem,1.0205334005204731
rapio,1.0050878585368286
defendo,1.0170111520017167
pro,1.0181550542127056
audeo,1.016604549375551
sic,1.010240285602217
gigno,1.0239141322010714
genero,1.0236506817040156
morior,1.0244632094394244
olim,1.0104419218686762
apollinis,1.042482559131556
facio,1.0182751853107093
citharoedus,1.0924816778718884
diuinus,1.01777587561904
primus,1.0064267230359154
nascor,1.008881069865603
insula,1.0319918903225171
delus,1.0678753100248377
offero,1.0344494292874715
merces,1.0199832556373913
postmodum,1.0428769382516891
structura,1.0658417029767329
sequor,1.0092114548988083
rex,1.027682508079029
troianus,1.0300906372309024
murus,1.0229719082372415
educo,1.0675649105088345
loco,1.0184237817011204
que,1.0056941445160943
sui,1.006518740253356
deus,1.0199253409915405
seduco,1.7957693729626998
puto,1.0065796716721818
os,1.0209516641565628
cassandra,1.563720583683326
flagro,1.019491624349427
subdola,1.1902310509738954
ludo,1.0075707060561265
uirgo,1.0112414095765505
fallo,1.007044478655758
officium,1.0306047649975574
uerbena,1.2050315759170893
possum,1.0159775968227447
scio,1.0287255825680688
repudio,1.0210636940302777
enim,1.02200676244585
terreo,1.008324323219769
species,1.016855941545446
ille,1.0157340180605439
debeo,1.0177098771363322
prior,1.01506318153019
utique,1.0380144623492122
amo,1.0118589890695666
lasciuio,1.0260202278167339
coepio,1.0154843480813027
insequor,1.0213974439031601
uiolo,1.0176998762422034
puella,1.015810585158579
gratis,1.0472707079713521
stultus,1.051202758593207
consequor,1.0252876170659637
cursus,1.007353822395306
si,1.0222609584086446
occurro,1.0123459114350835
per,1.0073739641405426
aura,1.0041932924797863
sub,1.007524538614711
tego,1.008029766687103
uenio,1.019223014205272
remaneo,1.0292982095030787
genus,1.0124598486718794
nam,1.0078126853732443
improbus,1.0122364580952654
eo,1.0176995058424918
ab,1.0690102648386743
primitia,1.0939568870340555
quoque,1.0262091306174852
pecus,1.0061594613574851
paueo,1.0251143363238482
refero,1.0057219368407322
omnis,1.0168120621921937
malum,1.0237154540907025
aut,1.0084343868512957
timor,1.0248424425058391
pudor,1.005208719973019
natura,1.0110013756239058
perfundo,1.0470438476496862
lusus,1.0422639841703654
pono,1.0210221226726128
mitto,1.033799452143256
discus,1.1254800519497248
alo,1.0064645784760209
,1.1126273118535428
retineo,1.0155641971528733
prosterno,1.018071708292866
amicus,1.0128993428162802
ultimus,1.01580738694437
dies,1.3721907134874542
hyacinthus,1.0475741262949647
sodalis,1.0244929872260309
praecedo,1.031611408293466
liber,1.026848589798274
pater,1.023716078743786
certe,1.0200810557876283
bis,1.0100803237417175
dico,1.0412400732191436
indium,1.0250733113193167
ex,1.0140514766688962
ioues,1.022217483307002
proserpina,1.013205441320869
belligero,1.1756666691192985
contra,1.0326648293918343
titanus,1.1138740095050863
profusus,1.0497732007246015
cruor,1.0080354598960626
expiro,1.0592065945857354
sicut,1.0577972149970851
mortalis,1.0127757691280075
rursus,1.008604863195937
flo,1.0259136319889657
reddo,1.0104756371720633
alter,1.0075687697219424
uenter,1.020384746451005
percipio,1.0401921165525934
semelis,1.0687438646916467
iterum,1.019780955062381
iouus,1.010118150452142
moecha,1.112326416295117
abscisus,1.0709087306693792
uterus,1.0503916018838562
prope,1.0282752753758915
partus,1.0140970795806623
defunco,1.0755909455346528
tollo,1.0230642309225704
do,1.0196176480008197
nisus,1.0315194392521756
nutrio,1.0109475222734596
alumnus,1.0139544615386102
uoco,1.028898382736317
religio,1.0104002981356166
uacuus,1.0148848670679453
falsus,1.0178780697635195
curo,1.0157320502230258
bacchor,1.0272237420880543
qualis,1.014145751728807
nunc,1.0092203183144692
mineruus,1.0582933821213107
conspiro,1.0389956805783076
proludo,1.4135009550718562
furor,1.0243920250242249
ceterus,1.0129405611329863
numen,1.0120465589713874
adsum,1.006198624301834
manifestus,1.058208741901436
rudis,1.0138022042194463
suillus,1.0398986953242042
uinum,1.045036266222006
permuto,1.0510821740587715
primo,1.0108444614968235
exprimo,1.017950698740711
honor,1.084728369461601
dedo,1.021183518016837
denique,1.0160087291933453
maleficus,1.0832132325282866
gestio,1.0283945286707334
latus,1.0170902548221745
deuito,1.0863726002187999
appareo,1.0317739481692936
trepido,1.0100530805349377
deprehendo,1.018615896286966
nego,1.0105909191229265
accuso,1.0262506860137846
facile,1.0085803066845405
confiteor,1.0303828519772784
damno,1.017732348998174
maereo,1.0140235285243557
dinumero,1.0836057221809434
semet,1.0677217864816846
impetus,1.0166607321317374
ignauia,1.041040170466039
fatum,1.0083645639638212
astrum,1.0124827614008907
imputo,1.0369843940091914
agnosco,1.0172108131809714
inuictus,1.0230470127253288
petra,1.0813465449659896
habeo,1.0130761649320141
ergo,1.0200318122771654
reticeo,1.019533442903763
iste,1.0096855625549837
uinco,1.011071807893888
quaerendus,1.028285737295959
creator,1.0765249424030958
insuper,1.0400976440544898
fur,1.033329736404224
depingo,1.041508647787566
furtum,1.0664912533523292
terrenus,1.030499239957476
monstruosus,1.0598998373750352
uerto,1.0071392690533385
bos,1.0239607515043978
alienus,1.0322350101281026
antrum,1.0079599392600358
cacus,1.1664469192487337
uulcanus,1.023086690311737
filius,1.0492838731329124
siluanus,1.0877704778730675
unde,1.0160920453559916
inde,1.0114070439853011
forte,1.0283317470614743
placeo,1.0402178495786356
bene,1.0175524167392709
fistula,1.032175060837991
canto,1.046673409410045
lar,1.037933484149431
igitur,1.0197839304010228
quando,1.0209701166375031
lignum,1.0251076343048156
uenalis,1.0219601963902372
emo,1.0404716363653954
dominus,1.084347260696295
tu,1.0171517329309319
aspicio,1.013585385419082
deficio,1.025124358198048
christianus,1.0216671393219499
uero,1.0345331819301562
similis,1.0183832286332875
pudet,1.0105981022902217
stulte,1.0235869167057337
talis,1.0113664990803055
adoro,1.031631580248368
tabella,1.065115918824445
quaero,1.0190546863369163
secedo,1.0373628852327974
factum,1.0580062077054426
hercules,1.0484564759617403
monstrum,1.0164420732412907
auentinus,1.1555368214571546
mons,1.0350444754310122
elido,1.0284128098975474
solitus,1.0204129842885064
armentum,1.036063589537109
furo,1.0090063649517669
rusticus,1.0203949863653095
indocilis,1.0379444645922398
laus,1.0113068155788794
gratia,1.0619764838884158
ago,1.0168920585734893
absum,1.0638730988277
tono,1.050366217922672
uoueo,1.0048003047242136
hostia,1.0271525508527943
ineptus,1.0296256750982127
oro,1.0259312604941504
laeto,1.0179271055384544
ara,1.010770528944825
porrigo,1.0156045874929032
uetustus,1.0221155991340671
mos,1.006917192585123
colo,1.015685008877216
sed,1.0074146129982253
licet,1.019380496598453
fortis,1.027492873724056
arma,1.0060748098170098
genesis,1.5788485761890265
adscribo,1.0407281939172308
primum,1.009396465455194
sacer,1.023427819895615
fero,1.0087980221391546
inter,1.0073494675292642
uterque,1.0095231035025554
uia,1.0289187011370335
inmaturus,1.076427830058634
uagor,1.0212214971509705
tribuo,1.0216542608651595
cur,1.0071218572343759
nemo,1.0209595545297476
paeniteo,1.0155734798842828
nisi,1.0286074506957466
plane,1.035191236114844
retro,1.067832490254889
denoto,1.066737065192774
glorior,1.0561098919278036
interrogo,1.0221056982709962
ultro,1.0173770517451184
uanus,1.0108041443822076
maneo,1.01475332049661
fabrico,1.0346397900183737
femina,1.0145475673183586
nescio,1.0084345686943552
dea,1.0208309628641847
bellonus,1.0918497591902572
nemesis,1.1303509574273416
furina,1.4576251571898649
caelestis,1.018643727067226
uenero,1.0342604775241884
coniunx,1.0083330498553782
uester,1.0349921165917766
alius,1.0160938299727529
praeterea,1.0162184609573495
daemonium,1.1498382283357285
procul,1.012057120620249
fanum,1.031549311535625
numero,1.019643984311651
collum,1.0108448269234453
ratio,1.0176833319846892
pestis,1.0147546707781332
exporto,1.0592730022082373
magis,1.0150111052655268
terra,1.0342366960480547
deludo,1.053721718296084
paucus,1.0106338370213233
scelero,1.0217500793845193
uates,1.015556943215983
inanis,1.0136932319914975
extrico,1.2615005836348254
uita,1.015159487567981
suborno,1.064623739007903
mysterium,1.064629143620728
falsum,1.0335133185175949
simulo,1.0129938319088285
concutio,1.01192691637865
quidam,1.0115014378003053
maiestas,1.0251784797050028
cano,1.0104887222369885
figura,1.019849888199096
saepe,1.0059616415581225
fragor,1.0153898854500987
luxurio,1.0348843506799603
ineo,1.0335512652569596
furia,1.0127836559093568
fingo,1.007277375773925
dorsum,1.0148674933543276
allido,1.1772301073162257
parcus,1.0165424598689934
doctrina,1.0335409505990172
cerno,1.0056570100979803
sano,1.0355556993037294
respicio,1.0203257933665264
cogo,1.0261376406135119
compono,1.015497009990868
integer,1.0733497164683774
ingenium,1.008627662410289
quoniam,1.0577068527261937
naturalis,1.0399516807118565
paenitentia,1.0506628133465838
obumbro,1.0568959509821283
populus,1.0361692334021284
supplex,1.0086283900617625
periturus,1.225054253060223
semel,1.0112378134061513
uetustas,1.0116337895445313
procedo,1.0238535209562303
uaticinor,1.0616844856335568
prodo,1.0083787459552975
autem,1.050366086402752
nullus,1.0107914774331372
multus,1.0096325783903979
superstitio,1.0276636233261018
nefandus,1.01776247766678
exsequor,1.0390613798857227
cultor,1.013859303013789
magnus,1.0140500056755122
aurum,1.0336524489583299
aedis,1.0409647261634742
quasi,1.0608286370598308
uentum,1.031061424031319
ad,1.0151943170181639
summum,1.015137927677391
