Token,PRT
graecia,1.00304598
phoebus,1.003143633
nilus,1.003658462
athenienses,1.00428753
parthi,1.004572627
cicero,1.004896234
caesar,1.004900655
pythagoras,1.005035417
persa,1.005036575
asia,1.005049987
thracia,1.00509291
athenae,1.005188429
olympus,1.005215835
aruum,1.005217493
lacedaemonii,1.005318953
musa,1.005341871
uicinus,1.005342835
tonans,1.005461488
nereus,1.005494568
caterua,1.005515332
frango,1.005518502
libya,1.00552416
lacedaemonius,1.005526689
uestigium,1.005542942
graecus,1.005550285
pyrrhus,1.005570087
uiscus,1.005583372
rhenus,1.005607477
homerus,1.005649044
bithynia,1.005677404
cato,1.005773372
indus,1.005821765
uitis,1.005867336
phryges,1.005970876
uastus,1.005985573
lyaeus,1.006038744
uinco,1.006075927
macedones,1.006123703
graecum,1.006131026
pompeius,1.006164984
gracchus,1.00622263
gelidus,1.006237844
tiberis,1.006245209
rapidus,1.006290378
uenenum,1.006293388
hector,1.006309437
ceruix,1.006325402
nouem,1.006372689
libycus,1.006387138
laeuus,1.006404782
uestis,1.006438484
poenus,1.006451822
saeuus,1.006462483
latium,1.006469324
premo,1.00647577
macedonia,1.006498318
puppis,1.006510235
ionius,1.006548512
hister,1.006559435
carbasa,1.00657532
lydia,1.006608437
niueus,1.006669052
corinthus,1.006738188
autumnus,1.006765152
priamus,1.006816005
cauus,1.0068172
thybris,1.006824016
africa,1.006825314
campus,1.006829125
seco,1.00683917
iaceo,1.006844163
uexo,1.00689819
romulus,1.006900653
telum,1.006919149
longus,1.00691957
thessalus,1.006960984
obuius,1.006962118
tyrius,1.006977545
metellus,1.00697937
persis,1.006987682
maurus,1.007001806
italia,1.007005911
haereo,1.00704594
silua,1.007075396
mollis,1.007122121
uertex,1.007154504
danai,1.007158545
sonipes,1.007166759
rumpo,1.007170111
thessalia,1.007172847
parthus,1.007186492
caecilius,1.007196157
iungo,1.007197475
medus,1.007201618
uario,1.007213574
capitolium,1.007220219
flecto,1.007220498
cingo,1.007258338
claudius,1.007295261
achaia,1.007300852
feruidus,1.007322629
tumidus,1.007334087
murmur,1.007375229
grauis,1.00737834
alpes,1.007405263
cyprus,1.007426264
quirinus,1.007427464
aurora,1.007452301
specto,1.007528543
tristis,1.007545164
numa,1.007551282
leuis,1.007556232
diues,1.007572754
placidus,1.007578056
atheniensis,1.007618236
illyria,1.00761833
auidus,1.00762482
angustus,1.007660316
fretum,1.007695453
amnis,1.007705178
arbor,1.007705931
fluctus,1.007713784
troia,1.007757727
traho,1.007763102
auentinus,1.007801238
raucus,1.007813487
tarpeius,1.007829546
iacto,1.007868596
cecropius,1.007886848
cuspis,1.007908008
axis,1.007917287
bacchus,1.007938101
misceo,1.00794384
aequor,1.007947593
tego,1.007957253
ganges,1.007965651
rhodanus,1.00797404
aether,1.008030536
aratrum,1.008049808
nodus,1.008056544
uoluo,1.008068828
lustro,1.008086583
herculeus,1.008099616
latebra,1.008113833
ferus,1.008114789
aestus,1.00814833
tardus,1.008148364
thebani,1.00817145
iuuencus,1.008183251
arena,1.0081917
uarius,1.008198803
tarquinius,1.008214463
tellus,1.008221023
rupes,1.008222796
certatim,1.008227444
graius,1.008245807
lysimachus,1.008245947
lateo,1.008256631
unda,1.008283488
pallidus,1.008284805
aeuum,1.008290885
uulnus,1.008301593
plato,1.008328249
trux,1.008335521
paris,1.00833975
uagor,1.008366627
syrtis,1.008370069
calliope,1.008372486
cxx,1.008382615
albis,1.008386238
uentus,1.008387374
uicissim,1.008415015
rubeo,1.008415845
patulus,1.008421379
saxum,1.008429754
tremulus,1.008435397
maestus,1.008441458
peto,1.008444541
geminus,1.008486039
caspius,1.008486477
seges,1.008487383
lycurgus,1.008497747
medulla,1.008500008
litus,1.008504324
domitius,1.008507842
nauigo,1.008510821
achilles,1.008525717
aethiopes,1.008531822
pontus,1.008535693
euentus,1.008537084
lacertus,1.00855216
leuiter,1.008558165
densus,1.008584717
horridus,1.008590089
rigeo,1.008598
notus,1.008627869
romani,1.008638246
indomitus,1.008643141
belua,1.008656047
iliacus,1.008657279
india,1.008661004
frons,1.008683257
iuuo,1.008701668
ripa,1.008702083
soluo,1.008708137
procella,1.008714556
delphi,1.008730791
circe,1.00876226
exhaurio,1.008772265
membrum,1.008773753
ueho,1.008791594
uenalis,1.008801127
carthago,1.008803001
interuallum,1.008838907
lachesis,1.008850293
uernus,1.008880856
alternus,1.008886996
illyrii,1.008902452
amazon,1.008907878
rabies,1.008917006
ales,1.008924669
nimbus,1.00894506
rapio,1.008948999
phrygia,1.008994481
uolatus,1.009002667
camillus,1.009014375
gallus,1.009016464
dulcis,1.009016909
fatum,1.009018019
cortex,1.009020817
ceres,1.009027049
aegaeum,1.00902709
seruo,1.009031265
aemilius,1.009032505
concutio,1.009033141
muto,1.00903911
capto,1.009047731
haemus,1.009073809
carpo,1.009078127
indi,1.009079624
antiochus,1.009083114
quatio,1.009085283
mauors,1.009085776
uadum,1.009089271
lacesso,1.00909454
uiolo,1.009097746
uelox,1.009098323
tener,1.00911006
caeruleus,1.009134523
lacero,1.009135039
recessus,1.009142186
uictoria,1.009153096
imitor,1.009168592
uox,1.009169621
hiberus,1.009171141
dirus,1.009180385
uictrix,1.009199249
albanus,1.009261363
inuidia,1.009263469
tusci,1.009313694
patrius,1.009328151
durus,1.009330454
ualidus,1.009357583
exiguus,1.009362001
chrysippus,1.009362482
soleo,1.009367936
bosporus,1.009374469
romanus,1.009379164
perago,1.009382135
colo,1.009386944
breuis,1.0093997
carmina,1.009402702
obliquus,1.009412735
reddo,1.009431616
pateo,1.009431896
cappadocia,1.009450858
terreo,1.009452042
pectus,1.009468422
alpinus,1.009475437
uerber,1.009487732
