Token,PRT
abdico,1.0583109979034981
abditus,1.0429581739129594
abdo,1.0218605971319465
abduco,1.02610529092482
abeo,1.0459704258434874
aberro,1.0410618819476571
abhinc,1.08304268619945
abhorreo,1.024453524244858
abicio,1.0174379228104877
abiectus,1.1657334990106927
abies,1.0393638017281444
abigo,1.0152243785114041
abiicio,1.0762852014574322
ablaqueo,1.09165963666382
ablego,1.0500207719764294
abluo,1.045460448491005
abnego,1.1229004700606107
abnueo,1.0774173859240188
abnuo,1.025753201352072
aboleo,1.0267701720283786
abominor,1.1548164317322829
abrado,1.0685360430080322
abripio,1.0241752774469979
abrogo,1.059155203491127
abrumpo,1.0246948013250787
abscedo,1.0292261514268604
abscido,1.038790842165412
abscindo,1.0312830668539996
abscondo,1.0507801492152506
absens,1.069112335011399
absentia,1.0323701786107136
absinthium,1.0380133970995564
absisto,1.0453836801125287
absoluo,1.0235980325749465
absolute,1.142959436196163
absolutio,1.0426091595733222
absolutus,1.0470542392054212
absorbeo,1.0729604229181446
abstergeo,1.0356988738112498
abstinentia,1.04847789228501
abstineo,1.0239286254553264
abstraho,1.026028589960672
abstrudo,1.022054833309231
absum,1.0225298871481185
absumo,1.0239044281288352
absurde,1.0396208906195816
absurdus,1.0404592949910352
abundans,1.0595592866157062
abundantia,1.0393114364872855
abunde,1.065827232342921
abundo,1.0193930493742323
abutor,1.027623165498028
academia,1.0365839180348824
accedo,1.0234115162202342
accelero,1.0328589450737102
accendo,1.017736831494848
accensus,1.0725235627854033
acceptus,1.0787287007926794
accerso,1.0916961415496367
accessio,1.0684932525263913
accessus,1.0216993549805562
accidens,1.1422910204878094
accido,1.0144578701082911
accingo,1.0637796074075407
accio,1.0206600932587213
accipio,1.0222027067505486
accipiter,1.0524989709900445
accipus,1.006846816925034
accius,1.0366149022366746
acclamatio,1.0355469419702634
acclamo,1.045420026878051
accola,1.024992315344056
accolo,1.0504299026856623
accommodo,1.0495256484649718
accubo,1.0699979672459843
accumbo,1.033102344856354
accumulo,1.0478961766040258
accurate,1.0980123736649583
accuro,1.1038954841184294
accurro,1.0169840193335846
accusatio,1.0404905377778113
accusator,1.0364132877095515
accuso,1.0229042488425297
acer,1.010479999305652
acerbe,1.0278754888167345
acerbitas,1.0183819981000999
acerbo,1.0459655607060387
acerbus,1.0184822886779452
aceruo,1.0249681741694014
aceruus,1.0212906716825039
acetabulum,1.0721302269914013
acetum,1.0874342047852594
achaei,1.0083037954043297
achaia,1.006168035708826
achaicus,1.0113484581411492
achates,1.365064787621136
achelous,1.0317516873099046
acheron,1.0116853720675283
achilles,1.0058906195017214
achilleus,1.1052039222552388
achiui,1.0159234699507118
achiuus,1.025259143961758
acidus,1.042054654767364
acies,1.027280517869102
acinus,1.0382727642757807
acquiesco,1.0986695852238937
acquiro,1.0530431238694662
acriter,1.0280672337741699
actiacus,1.0113114208785037
actio,1.1054378238058944
actor,1.060963136394697
actum,1.0627163629957146
actus,1.0372896026487943
actutum,1.0880822273394524
aculeus,1.0321387370606219
acumen,1.018940851205038
acuo,1.027817012886391
acus,1.0433948700081537
acutus,1.0236122412942144
adaequo,1.0690307309473794
adamas,1.0332215798914635
adamo,1.0596462567600513
adaperio,1.0540126343667384
adcelero,1.0519360834873155
adcresco,1.056373153073835
adcurro,1.0599072977792925
addico,1.0189401639566475
addisco,1.097718112539199
addo,1.0162010089353106
adduco,1.0434212838177979
adeone,1.0298408007975561
adeps,1.100324625613342
adest,1.0550986288629496
adfecto,1.0247810057904287
adfero,1.0272947191357307
adficio,1.0262412824313347
adfigo,1.0301942772046406
adfinitas,1.0346751038975492
adfirmo,1.035834435161272
adflicto,1.0614714239022227
adfligo,1.0579317265427648
adflo,1.03117335289561
adfluo,1.0622473810632327
adfor,1.0254747804602478
adfulgeo,1.0562572172335902
adfundo,1.137278594482068
adgredior,1.0208548438059397
adgrego,1.069471472111803
adhaereo,1.030207417486264
adhaeresco,1.0993482651445718
adhibeo,1.0202301531188986
adhortor,1.0373852208617864
adiaceo,1.0264937894439254
adicio,1.0388327241523887
adiectio,1.0324795593814013
adigo,1.0237026781917942
adimo,1.0147333419681326
adipiscor,1.0246574445679197
adito,1.1361017000368845
aditus,1.0447662105879554
adiudico,1.038249195485261
adiumentum,1.0493630955780915
adiungo,1.0169283453532485
adiuro,1.0756148045537395
adiutor,1.0564457831271865
adiutorium,1.0403880187789984
adiuuo,1.0156965595968164
adlego,1.1255975157395497
adloquor,1.024501411361364
adluo,1.0284634862227655
admetus,1.0175357244704248
adminiculum,1.030183889714476
administratio,1.0532637440096737
administro,1.0466750492010704
admirabilis,1.0191235196630923
admiratio,1.0137090003059048
admiror,1.0279903890032225
admisceo,1.039664112768265
admitto,1.0202887227086088
admodum,1.0172266697871648
admoneo,1.0151903152004198
admonitio,1.0513190686369223
admoueo,1.0144398642236345
adnecto,1.0280289920134529
adnitor,1.055749576407296
adno,1.0915813457586008
adnoto,1.0578318008995202
adnumero,1.025323659608408
adnuo,1.0369145532201482
adoleo,1.070097400801642
adolescens,1.0350997323558249
adolesco,1.0270796860967124
adoptio,1.0394608674040147
adoptiuus,1.060154957475031
adopto,1.0262929812018993
adorior,1.0262069484528993
adorno,1.0428436978872557
adoro,1.049683052161166
adpareo,1.0430434064384997
adparo,1.0672128825584262
adpello,1.059742251290287
adpeto,1.024850413823558
adplico,1.0362292159643536
adpono,1.0505840896837086
adporto,1.0647396162325535
adprehendo,1.04731710921626
adprobo,1.03407130972066
adquiesco,1.0665121586551742
adquiro,1.0386494208870138
adrideo,1.0831133240386208
adripio,1.046211379640553
adrogo,1.1472702750453123
adscendo,1.0334440784215635
adscisco,1.0269424125054278
adscribo,1.023017625854874
adsentio,1.0533566697576777
adsentior,1.0532060145239244
adsequor,1.0350203866309573
adsero,1.0730700975944782
adseuero,1.0639027789714517
adsideo,1.0250626075202693
adsigno,1.0142457278406136
adsisto,1.031653059994432
adspicio,1.0558676112504473
adspiro,1.0758766115367338
adsto,1.0720246553652104
adstringo,1.0449013590673177
adsuefacio,1.0392497988967824
adsuesco,1.0125602039213
adsum,1.0167086588412195
