Token,PRT
amicus,1.0080837336244082
cum,1.006756650122034
uideo,1.0130952514662428
obliuiscor,1.0341854388910114
miseria,1.0183405154034386
inimicus,1.0250483847523983
si,1.0133652316491566
sum,1.0085581159027976
comminiscor,1.0327200043236169
neque,1.0066380737214145
libens,1.008066107423602
aeque,1.0337887503271177
postremus,1.019966451031784
dico,1.0321829986384983
primus,1.0066087812570743
taceo,1.0110085646273645
corruo,1.0257250260845174
quasi,1.039727528831818
ictus,1.0060136378842457
,1.0711480347492626
praecido,1.0195400722340644
perna,1.0300597110135523
callus,1.2668212777325483
desino,1.0062641038301001
socrus,1.0193246940850158
tuus,1.0322423772585971
frater,1.0234152715846372
patruelis,1.0364446741996616
meus,1.0408421524911833
populus,1.048221046148248
patior,1.012899281664
tu,1.0137817433413459
patio,1.079083234213361
sed,1.0089368875614844
ita,1.0133559280347164
ut,1.0117605625309067
occipio,1.0765585835528195
narro,1.0209082382224048
uos,1.0262397632724056
hic,1.0083245656242739
non,1.0083155967352078
adsum,1.0077154075822086
delibero,1.0182965696405253
iam,1.0076312807677335
et,1.0184162395751322
cognatus,1.0103200421682899
quis,1.0149805866363437
arguo,1.0180925280483095
siue,1.033668815962002
enim,1.023821781022981
abscedo,1.0203457125414728
qui,1.0067444468800475
dubius,1.0180505805095188
quin,1.0294454927073038
hostis,1.0132515189215958
demergo,1.016703612623761
moles,1.0086817540315187
minor,1.0141573994091764
aperio,1.0120602952629951
portus,1.009965158245904
quam,1.008736579262394
obstruo,1.015393695573916
sin,1.0661768472100615
autem,1.0364620261747
maneo,1.008876459114721
ibi,1.0196136202144048
nihilum,1.0516567627579518
minus,1.0187035374673086
attineo,1.030727472148999
claudo,1.0075464419060898
contra,1.0288412809690914
ille,1.0133790037604533
tutus,1.0080884582778307
opulentissimus,1.040245325342659
urbs,1.0148783595295652
fruor,1.0091532394833505
omnis,1.014078323047817
asia,1.0074865428986055
praebeo,1.008725844207044
quietus,1.0178953614370845
aestiuo,1.0251837418229863
ago,1.0112141646515374
romanus,1.0169032763296186
in,1.009631849289307
mare,1.0127184255277333
fluctus,1.0049138137422786
tempestas,1.0118816304926306
que,1.0039414532004567
obieco,1.076842648401891
inops,1.0123809757134277
adsiduo,1.0102288493848082
statio,1.0213762400396247
ipse,1.0116769790823086
magis,1.0153275141015055
adligatus,1.2602823200374271
impedio,1.0153192189822369
ne,1.015653220003625
is,1.0285519576352646
agendus,1.0183795196724328
possum,1.0079730198109178
praefectus,1.0278001127582126
rhodia,1.2277508964507866
classis,1.0080728307470692
sui,1.0070911461878695
displico,1.0214040974963532
sententia,1.0199201947191465
ostendo,1.0096396264218994
censeo,1.076837395538907
facio,1.0124662030314695
rhodius,1.0278298959440542
omitto,1.0130159736499684
praesentia,1.0679484514151136
ephesus,1.0326711220873366
mittendus,1.0391268944218675
nauis,1.0140666771837632
pars,1.0078145621051946
