Token,PRT
amicus,1.010708419345157
cum,1.0091919073679987
uideo,1.0183772943088878
obliuiscor,1.0473911387742616
miseria,1.0269807766022059
inimicus,1.0382274677155452
si,1.0154557062858363
sum,1.0108399545902098
comminiscor,1.0477511579009424
neque,1.0100650600676038
libens,1.0125535224543543
aeque,1.0398936033389719
postremus,1.0295977464882773
dico,1.0394245811672223
primus,1.0084702718188212
taceo,1.0130939667730954
sicina,1.065793900461963
non,1.010534553066626
ego,1.0228739895461758
quidem,1.0514489528324957
facio,1.0178846158279777
auctor,1.022256847424113
hodie,1.102024606683371
ut,1.0140173997512525
ille,1.0159692295543745
decipio,1.0127203817056172
etiam,1.0212656957391788
-no,1.0451983110081882
impudens,1.043398201636765
muttio,1.1284147271930929
uerbum,1.0252710131560188
unus,1.016796286271651
audeo,1.0119773337367437
aut,1.0085881282583915
loquor,1.0370939440353555
consul,1.0290648027075642
in,1.0122486116226992
hiberna,1.0350755101214855
exercitus,1.0521319429341316
magnesius,1.1316069529158552
ad,1.0126602938155844
maeandrus,1.2582131907821714
et,1.0209210357532568
trallus,1.7309586170337672
ephesus,1.0442667679155235
que,1.0066139148647308
paucus,1.0180841259080233
post,1.0183792105935812
dies,1.167178963304914
obses,1.0268752381316706
ab,1.0320459141024303
rex,1.03534621662568
adduco,1.040814968038018
legatus,1.0504820997700328
qui,1.0085840052431025
roma,1.0311831624960741
eo,1.0160602309988676
uenio,1.0209051320739837
eume,1.019754921589837
quoque,1.025429743472894
idem,1.0187892140291486
tempus,1.0146504027947552
proficiscor,1.023225086860488
sequor,1.0120847162576765
is,1.0357110447218678
legatio,1.034260923835804
omnis,1.0201932668840967
asia,1.0110982529927268
populus,1.0591087036694042
dum,1.012974871518619
hic,1.0102146761342339
gero,1.0219228470061645
duo,1.0134457272882078
fere,1.03229464879914
sub,1.012984779763026
triumphus,1.01701670051223
spes,1.0206528517015427
proconsul,1.059709707578965
de,1.0263693445648274
prouincia,1.0745462379100694
redeo,1.0117907047682548
q.,1.013828669813723
minucius,1.036153043089874
ex,1.0151460969868635
ligus,1.153774965956959
mx,1.0820660804481297
acilius,1.0436526988497636
aetolia,1.2531038512971702
audio,1.030039031327592
uterque,1.0113101074372803
res,1.0209393007462126
nego,1.0156368651882157
acilium,1.0992869305725077
magnus,1.0121031548894837
consensus,1.0490532536645891
decreo,1.119151363723446
triumpho,1.023940440964341
antiochus,1.0240417517022788
aetolum,1.0164045103376647
urbs,1.0203166717609877
praefero,1.0136751641000357
signum,1.023040150561863
militaris,1.02679781095425
ducenti,1.0149515434481629
triginta,1.0254146391044725
argentum,1.061208023380812
infcio,1.4278185201941338
tres,1.0135523807481295
mille,1.0222141200578287
pondus,1.014278919061137
signo,1.011439848106925
,1.0886142807069044
atticus,1.1298695491247512
centum,1.0142866453111203
decem,1.017700123175494
uas,1.0288917573443663
argenteus,1.031971069506112
caelo,1.0648966053739612
multus,1.0121849767909945
fero,1.010046209154596
suppellectilis,1.9106598917712854
captiuus,1.0158091705613488
nobilis,1.0152697583069412
aetolus,1.0295662812271005
regius,1.020318036888854
dux,1.0149372987710203
sex,1.0207610275695018
duco,1.008849887450675
ante,1.4104125897605886
carcer,1.0183349524389618
noctu,1.0255368029532537
effugio,1.016199133458657
ripa,1.0088992706095556
tiberus,1.0570476422634427
consequor,1.0344020413778918
custos,1.0144476969667213
priusquam,1.0403632425181564
comprehendo,1.0141972487601527
gladius,1.0369338895632962
sui,1.0103059880378709
transfigo,1.032221673349022
quis,1.0185501598381317
tandem,1.026671451251817
admitto,1.0202541280019635
miles,1.0184266873040546
tantum,1.016498607565701
currus,1.0212368512198136
desum,1.0111885057849521
alioqui,1.0631823984837694
magnificus,1.0569339695980893
spectaculum,1.012857699822956
fama,1.011664412254483
minuo,1.0156563557614917
laetitia,1.025334486852884
nuntius,1.0377381224833149
hispania,1.0362637616489383
tristis,1.0064818468155192
aduerto,1.0114138729207414
pugna,1.0138302626944997
ductus,1.080972056938924
l.s,1.0086922455670149
aemilium,1.1468507127479117
apud,1.0157913961754013
oppidum,1.0186269665707413
lusitanus,1.0460783571624799
romanus,1.0256573029442226
cado,1.0189102373926437
ceterus,1.0165741196419078
paueo,1.0235443278608753
intra,1.0223899106156187
uallum,1.0224944667653657
compello,1.048281301918998
aegre,1.029122244923647
castra,1.0246746942505844
defendo,1.018190027728738
nuntio,1.02546640945478
gallium,1.0899915222529328
placentinus,1.288338144285564
cremonensis,1.1399863002277701
aurunculeius,1.1462160565879247
praetor,1.060298192940693
senatus,1.0243737613736261
introduco,1.0598399793000004
queror,1.01208038144509
inopia,1.0156259212825889
colonus,1.0366861173345256
alius,1.0146769126930655
bellum,1.0114238725997304
casus,1.02543832997199
morbus,1.0136662222631998
absumo,1.0213385602726879
quidam,1.0175503184193402
taedium,1.0189512656405821
accola,1.0382929413884157
gallus,1.0161865771337282
relinquo,1.01358563035974
colonia,1.03399957868927
decerno,1.0854771343953753
utor,1.013152331835757
c.,1.162084008095764
laelius,1.0657930879916897
familia,1.046099620672962
conscribo,1.2708215641637326
diuido,1.011874734210642
creo,1.071915485819936
m.,1.0291841129439108
atilis,1.0459702266728015
serranus,1.0727535176392693
ualerius,1.1194366924564603
p.,1.0457625718808368
f.,1.5061892385659201
flaccus,1.053187579288586
haud,1.0301558476725083
ita,1.0179797285268626
multo,1.0217419901136453
iam,1.0147004782100761
consularius,1.1073059870050137
comitium,1.0556678446216878
appeto,1.0391717554065099
solum,1.0206097616170504
absens,1.0289416707302705
consulto,1.032964675735032
supplementum,1.0464004680269428
cremona,1.0799973066397124
placentia,1.1648244620957517
scribo,1.0238495845977706
sed,1.0117328625441984
novus,1.0336330257549176
ager,1.0237902304807298
boius,1.3087306272020727
deduco,1.0187561789040822
refero,1.0144451207190477
pater,1.0356419326309922
censeo,1.087576140531931
littera,1.0251516687998004
naualis,1.0292366434692135
scipio,1.0212191350275115
uictoria,1.010854632636465
ergo,1.0362281755318405
supplicatio,1.1206568593142539
alter,1.0136551982979367
quod,1.0148184449845072
tum,1.0158294673336652
primum,1.0133627833130043
pono,1.0176934560187025
prosperus,1.0305882416537064
laeto,1.019064899573258
euenio,1.0158452132672267
rogo,1.0188629012119557
uiceni,1.0429459172024618
