id,title,creator,date_avg,date_range_start,date_range_end,type,file,era_bin,century
IT-LAT0062,Ad martyres,"Tertullianus, Quintus Septimius Florens",197,196,197,prose,lat_0197_IT-LAT0062.txt,post_180,2
IT-LAT0246,Apologeticum,"Tertullianus, Quintus Septimius Florens",197,196,197,prose,lat_0197_IT-LAT0246.txt,post_180,2
IT-LAT0737,Adversus Iudaeos,"Tertullianus, Quintus Septimius Florens",197,197,197,prose,lat_0198_IT-LAT0737.txt,post_180,2
IT-LAT0058,De spectaculis,"Tertullianus, Quintus Septimius Florens",197,196,197,prose,lat_0199_IT-LAT0058.txt,post_180,2
IT-LAT0749,Ad uxorem libri duo,"Tertullianus, Quintus Septimius Florens",198,198,203,prose,lat_0198_IT-LAT0749.txt,post_180,3
IT-LAT0256,De Baptismo,"Tertullianus, Quintus Septimius Florens",200,198,203,prose,lat_0198_IT-LAT0256.txt,post_180,3
IT-LAT0350,De oratione,"Tertullianus, Quintus Septimius Florens",201,198,203,prose,lat_0205_IT-LAT0350.txt,post_180,3
IT-LAT0750,De cultu feminarum libri duo,"Tertullianus, Quintus Septimius Florens",201,196,206,prose,lat_0198_IT-LAT0750.txt,post_180,3
IT-LAT0606,De resurrectione carnis liber,"Tertullianus, Quintus Septimius Florens",206,206,207,prose,lat_0210_IT-LAT0606.txt,post_180,3
IT-LAT0744,De exhortatione castitatis,"Tertullianus, Quintus Septimius Florens",208,208,209,prose,lat_0205_IT-LAT0744.txt,post_180,3
IT-LAT0736,De virginibus velandis,"Tertullianus, Quintus Septimius Florens",208,208,209,prose,lat_0213_IT-LAT0736.txt,post_180,3
IT-LAT0747,Liber de fuga in persecutione,"Tertullianus, Quintus Septimius Florens",208,208,209,prose,lat_0213_IT-LAT0747.txt,post_180,3
IT-LAT0755,Liber de monogamia,"Tertullianus, Quintus Septimius Florens",210,210,211,prose,lat_0213_IT-LAT0755.txt,post_180,3
IT-LAT0788,Adversus Praxean,"Tertullianus, Quintus Septimius Florens",210,210,211,prose,lat_0213_IT-LAT0788.txt,post_180,3
IT-LAT0471,Passio Sanctarum Perpetuae et Felicitatis,[Auctor incertus],207,203,213,prose,lat_0200_IT-LAT0471.txt,post_180,3
IT-LAT0746,De anima liber,"Tertullianus, Quintus Septimius Florens",211,210,213,prose,lat_0210_IT-LAT0746.txt,post_180,3
IT-LAT0865,De Trinitate,Novatianus,240,230,250,prose,lat_0250_IT-LAT0865.txt,post_180,3
IT-LAT0059,De unitate ecclesiae,Cyprianus Carthaginensis,251,251,251,prose,lat_0251_IT-LAT0059.txt,post_180,3
MQDQ-41,carmen de duobus populis,Commodianus,250,225,275,poetry,lat_0250.0_MQDQ-41.txt,post_180,3
MQDQ-39,instructiones 1,Commodianus,250,225,275,poetry,lat_0250.0_MQDQ-39.txt,post_180,3
MQDQ-40,instructiones 2,Commodianus,250,225,275,poetry,lat_0250.0_MQDQ-40.txt,post_180,3
IT-LAT0264,Adversus nationes,Arnobius,297,295,300,prose,lat_0300_IT-LAT0264.txt,post_180,3
IT-LAT0268,De mortibus persecutorum,"Lactantius, Lucius Caecilius Firmianus",317,317,318,prose,lat_0318_IT-LAT0268.txt,post_180,4
MQDQ-1,laudes Domini,laudes Domini,321,317,324,poetry,lat_0321_MQDQ-1.txt,post_180,4
MQDQ-151,euangeliorum libri,Vettius Aquilinus Iuuencus,330,330,330,poetry,lat_0350.0_MQDQ-151.txt,post_180,4
MQDQ-350,cento Vergilianus,Faltonia Betitia Proba,360,360,360,poetry,lat_0350.0_MQDQ-350.txt,post_180,4
MQDQ-617,hymni,Marius Victorinus,360,356,362,poetry,lat_0362_MQDQ-617.txt,post_180,4
MQDQ-581,uersus Paschales,"Ausonius, Decimus Magnus",368,368,368,poetry,lat_0352_MQDQ-581.txt,post_180,4
MQDQ-579,ephemeris,"Ausonius, Decimus Magnus",374,368,380,poetry,lat_0352_MQDQ-579.txt,post_180,4
IT-LAT0878,Vita Pauli,Hieronymus,376,372,381,prose,lat_0400_IT-LAT0878.txt,post_180,4
MQDQ-56,epigrammata,Damasus,373,366,384,poetry,lat_0384_MQDQ-56.txt,post_180,4
IT-LAT0719,Itinerarium peregrinatio,Egeria,384,381,384,prose,lat_0350_IT-LAT0719.txt,post_180,4
IT-LAT0263,Epistula ad Marcellinam sororem,Ambrosius Mediolanensis,385,385,386,prose,lat_0350_IT-LAT0263.txt,post_180,4
IT-LAT0793,De magistro,Augustinus Hipponensis,389,388,390,prose,lat_0389_IT-LAT0793.txt,post_180,4
IT-LAT0397,De fide et symbolo,Augustinus Hipponensis,393,393,393,prose,lat_0393_IT-LAT0397.txt,post_180,4
MQDQ-512,psalmus contra partem Donati,Augustinus Hipponensis,393,393,394,poetry,lat_0392_MQDQ-512.txt,post_180,4
MQDQ-609,de mortibus boum,Severus Endelechius,391,387,395,poetry,lat_0350.0_MQDQ-609.txt,post_180,4
MQDQ-281,carmen epist. 8 insertum,Paulinus Nolanus,396,396,396,poetry,lat_0392_MQDQ-281.txt,post_180,4
IT-LAT0410,Vita Sancti Martini episcopi et confessoris,"Severus, Sulpicius",396,396,396,prose,lat_0403_IT-LAT0410.txt,post_180,4
MQDQ-180,hymni,Ambrosius Mediolanensis,385,374,397,poetry,lat_0368_MQDQ-180.txt,post_180,4
IT-LAT0847,De Mysteriis,Ambrosius Mediolanensis,385,374,397,prose,lat_0391_IT-LAT0847.txt,post_180,4
IT-LAT0843,Contra Ioannem Hierosolymitanum Episcopum ad Pammachium,Hieronymus,396,396,397,prose,lat_0400_IT-LAT0843.txt,post_180,4
IT-LAT0726,Vita Malchi monachi captivi,Hieronymus,395,392,398,prose,lat_0390_IT-LAT0726.txt,post_180,4
IT-LAT0403,De cathechizandis rudibus,Augustinus Hipponensis,399,399,399,prose,lat_0399_IT-LAT0403.txt,post_180,4
MQDQ-492,*carmen aduersus Marcionem,Pseudo-Tertullian,350,300,400,poetry,lat_0190_MQDQ-492.txt,post_180,4
IT-LAT1004,Regula ad monachos,"Macarius Alexandrinus Abbas Nitriensis, Sanctus",387,375,400,prose,lat_0395_IT-LAT1004.txt,post_180,4
IT-LAT0015,Confessiones,Augustinus Hipponensis,400,400,400,prose,lat_0399_IT-LAT0015.txt,post_180,4
IT-LAT0612,Chronica,"Severus, Sulpicius",404,404,404,prose,lat_0350_IT-LAT0612.txt,post_180,5
MQDQ-282,carmina epist. 32 inserta,Paulinus Nolanus,404,404,404,poetry,lat_0392_MQDQ-282.txt,post_180,5
MQDQ-368,apotheosis,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-368.txt,post_180,5
MQDQ-367,cathemerinon,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-367.txt,post_180,5
MQDQ-371,"contra Symmachum, praefationes","Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-371.txt,post_180,5
MQDQ-374,dittochaeon,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-374.txt,post_180,5
MQDQ-375,epilogus,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-375.txt,post_180,5
MQDQ-369,hamartigenia,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-369.txt,post_180,5
MQDQ-373,peristephanon,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-373.txt,post_180,5
MQDQ-366,praefationes,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-366.txt,post_180,5
MQDQ-372,contra Symmachum,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-372.txt,post_180,5
IT-LAT0270,Psychomachia,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0400_IT-LAT0270.txt,post_180,5
MQDQ-280,carminum appendix,Paulinus Nolanus,395,383,408,poetry,lat_0392_MQDQ-280.txt,post_180,5
MQDQ-279,carmina,Paulinus Nolanus,395,383,408,poetry,lat_0392_MQDQ-279.txt,post_180,5
IT-LAT0001,Vulgata,Hieronymus,382,382,410,prose,lat_0382_IT-LAT0001.txt,post_180,5
MQDQ-278,epigramma,Paulinus Baeterrensis,405,400,410,poetry,lat_0450.0_MQDQ-278.txt,post_180,5
MQDQ-365,*carmen de prouidentia,Pseudo-Prosper,416,416,416,poetry,lat_0450.0_MQDQ-365.txt,post_180,5
IT-LAT0880,Epistulae,Hieronymus,397,374,420,prose,lat_0400_IT-LAT0880.txt,post_180,5
MQDQ-52,deuteronomium,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-52.txt,post_180,5
MQDQ-49,exodus,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-49.txt,post_180,5
MQDQ-55,deperditorum carminum reliquiae,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-55.txt,post_180,5
MQDQ-48,liber geneseos,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-48.txt,post_180,5
MQDQ-53,Iesu Naue,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-53.txt,post_180,5
MQDQ-54,iudicum,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-54.txt,post_180,5
MQDQ-50,leuiticus,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-50.txt,post_180,5
MQDQ-51,numeri,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-51.txt,post_180,5
MQDQ-243,carmina minora,Orientius,412,400,425,poetry,lat_0450.0_MQDQ-243.txt,post_180,5
MQDQ-242,commonitorium,Orientius,412,400,425,poetry,lat_0450.0_MQDQ-242.txt,post_180,5
MQDQ-381,de Iona,pseudo Cyprianus,413,400,425,poetry,lat_0400.0_MQDQ-381.txt,post_180,5
IT-LAT0016,Regula,Augustinus Hipponensis,412,397,427,prose,lat_0391_IT-LAT0016.txt,post_180,5
IT-LAT0768,A Firmo de civitate Dei,Augustinus Hipponensis,419,412,427,prose,lat_0419_IT-LAT0768.txt,post_180,5
IT-LAT0608,De laude eremi,Eucherius Arelas: Sanctus,426,426,427,prose,lat_0450_IT-LAT0608.txt,post_180,5
MQDQ-360,"carmen de ingratis, argumentum",Prosper Aquitanus,429,429,430,poetry,lat_0450.0_MQDQ-360.txt,post_180,5
MQDQ-361,carmen de ingratis,Prosper Aquitanus,429,429,430,poetry,lat_0450.0_MQDQ-361.txt,post_180,5
MQDQ-189,alethia,Marius Victor,430,430,430,poetry,lat_0450.0_MQDQ-189.txt,post_180,5
MQDQ-422,carmen paschale,Sedulius,431,431,431,poetry,lat_0450.0_MQDQ-422.txt,post_180,5
MQDQ-364,epitaphium haereseon,Prosper Aquitanus,431,431,432,poetry,lat_0450.0_MQDQ-364.txt,post_180,5
IT-LAT0904,Adversus profanas omnium novitates haereticorum commonitorium cum notis,Vincentius Lerinensis,434,434,434,prose,lat_0450_IT-LAT0904.txt,post_180,5
MQDQ-66,uersus de fide,Agrestius Gallus Episcopus,441,441,441,poetry,lat_0450.0_MQDQ-66.txt,post_180,5
MQDQ-423,hymni,Sedulius,425,400,450,poetry,lat_0450.0_MQDQ-423.txt,post_180,5
IT-LAT0610,Liber sententiarum,Prosper Aquitanus,450,450,450,prose,lat_0426_IT-LAT0610.txt,post_180,5
MQDQ-363,epigrammata,Prosper Aquitanus,450,450,450,poetry,lat_0450.0_MQDQ-363.txt,post_180,5
LC-16_1,Eucharisticon Deo sub ephemeridis meae textu,Paulinus Pellaeus,459,459,459,poetry,lat_0400_LC-16_1.txt,post_180,5
IT-LAT0776,Chronicon,Hydatius Lemicensis,438,408,468,prose,lat_0350_IT-LAT0776.txt,post_180,5
MQDQ-285,de uita Martini,Paulinus Petricordiae,465,460,470,poetry,lat_0450.0_MQDQ-285.txt,post_180,5
MQDQ-608,epistula ad Arbogastem,Auspicius Tullensis Episcopus,475,475,475,poetry,lat_0450.0_MQDQ-608.txt,post_180,5
MQDQ-445,"epistulae, uersus inserti",Sidonius Apollinaris,475,469,482,poetry,lat_0458_MQDQ-445.txt,post_180,5
MQDQ-120,*de euangelio,Pseudo-Hilary,468,440,496,poetry,lat_0367_MQDQ-120.txt,post_180,5
MQDQ-118,*in genesin,Pseudo-Hilary,468,440,496,poetry,lat_0367_MQDQ-118.txt,post_180,5
MQDQ-59,de laudibus dei,Dracontius,493,490,496,poetry,lat_0450.0_MQDQ-59.txt,post_180,5
MQDQ-60,satisfactio,Dracontius,493,490,496,poetry,lat_0450.0_MQDQ-60.txt,post_180,5
MQDQ-382,de pascha,pseudo Cyprianus,450,400,500,poetry,lat_0400.0_MQDQ-382.txt,post_180,5
MQDQ-287,uersus de orantibus,Paulinus Petricordiae,475,450,500,poetry,lat_0450.0_MQDQ-287.txt,post_180,5
MQDQ-383,de resurrectione mortuorum,pseudo Cyprianus,500,500,500,poetry,lat_0400.0_MQDQ-383.txt,post_180,5
MQDQ-111,"carmen epist. 2, 19 insertum",Ruricius Lemovicensis Episcopus,488,470,507,poetry,lat_0473_MQDQ-111.txt,post_180,6
MQDQ-79,"epistulae, 7,21-29, uersus inserti",Ennodius,521,497,513,poetry,lat_0521_MQDQ-79.txt,post_180,6
MQDQ-81,"laus uersuum, opusc. 6",Ennodius,521,497,513,poetry,lat_0521_MQDQ-81.txt,post_180,6
MQDQ-623,carminum appendix,Alcimus Auitus,493,468,518,poetry,lat_0518_MQDQ-623.txt,post_180,6
MQDQ-622,poematum libri,Alcimus Auitus,493,468,518,poetry,lat_0518_MQDQ-622.txt,post_180,6
MQDQ-415,de Christi beneficiis,Rusticius Helpidius,500,475,525,poetry,lat_0550.0_MQDQ-415.txt,post_180,6
MQDQ-416,tristicha,Rusticius Helpidius,500,475,525,poetry,lat_0550.0_MQDQ-416.txt,post_180,6
MQDQ-618,uersus de calice,Remigius Remensis Episcopus,503,473,533,poetry,lat_0533_MQDQ-618.txt,post_180,6
