Word,Frequency_t_reference-last,Frequency_t0,"Cosine_similarity(w_t_reference-last,w_t0)",interval-0,neighbours_t0,Frequency_t1,"Cosine_similarity(w_t_reference-last,w_t1)",interval-1,neighbours_t1
et,139687,114465,0.5212684,0,"[('que', 0.695941686630249), ('atque', 0.6777662634849548), ('Ceterum', 0.42974206805229187), ('consimilis', 0.40886303782463074), ('proceritas', 0.4053839147090912), ('educatio', 0.4043678045272827), ('dein', 0.39597341418266296), ('mollitia', 0.39561915397644043), ('adsiduo', 0.3948005437850952), ('regendus', 0.39386120438575745)]",139687,1.0,1,"[('quoniam', 0.48492366075515747), ('quia', 0.4743075966835022), ('autem', 0.4573707580566406), ('cumque', 0.44908687472343445), ('sicut', 0.4326472878456116), ('atque', 0.4323844015598297), ('coram', 0.40828150510787964), ('iuxta', 0.40164080262184143), ('qui', 0.4005015194416046), ('donec', 0.38048917055130005)]"
sum,93085,92203,0.860263,0,"[('habeo', 0.6253883242607117), ('desidero', 0.5721672773361206), ('fio', 0.5629507899284363), ('efficio', 0.5086726546287537), ('euenio', 0.5060260891914368), ('reperio', 0.49677774310112), ('appareo', 0.4839335083961487), ('accido', 0.48372477293014526), ('facio', 0.48087674379348755), ('uersor', 0.47188177704811096)]",93085,1.0,1,"[('habeo', 0.62237548828125), ('fio', 0.5755665898323059), ('existo', 0.5106637477874756), ('permaneo', 0.5041121244430542), ('euenio', 0.5003342032432556), ('appareo', 0.498149037361145), ('facio', 0.49177220463752747), ('habendus', 0.49129316210746765), ('consto', 0.47983962297439575), ('praecedo', 0.47078412771224976)]"
qui,87140,91561,0.83410096,0,"[('quod', 0.6039445400238037), ('quia', 0.5382539629936218), ('ut', 0.501319169998169), ('autem', 0.47884294390678406), ('Qui', 0.4726064205169678), ('quo', 0.4668605327606201), ('sicut', 0.45667073130607605), ('enim', 0.44449445605278015), ('idoneus', 0.43709689378738403), ('itaque', 0.4366220235824585)]",87140,1.0,1,"[('quia', 0.5753759145736694), ('quoniam', 0.5734189748764038), ('quod', 0.5658178329467773), ('quisquis', 0.555656909942627), ('Qui', 0.5229531526565552), ('enim', 0.5013505220413208), ('quicumque', 0.48625287413597107), ('ut', 0.47546377778053284), ('quando', 0.45608338713645935), ('qualiter', 0.44429391622543335)]"
in,72483,65549,0.71881527,0,"[('circa', 0.4869941771030426), ('ad', 0.45569005608558655), ('e', 0.4504944086074829), ('ex', 0.45036786794662476), ('extra', 0.4350860118865967), ('intra', 0.42543089389801025), ('fundamentum', 0.42469435930252075), ('contraho', 0.4040141999721527), ('occupo', 0.40313494205474854), ('attribuo', 0.402387797832489)]",72483,1.0,1,"[('extra', 0.511164665222168), ('circa', 0.4599922001361847), ('ad', 0.4341016709804535), ('super', 0.4223862886428833), ('iuxta', 0.41930222511291504), ('ibi', 0.4131041467189789), ('propter', 0.40363985300064087), ('destruo', 0.38940247893333435), ('derelinquo', 0.38878268003463745), ('colloco', 0.3859892785549164)]"
que,49747,64169,0.8370395,0,"[('et', 0.6959419846534729), ('cumque', 0.5927973985671997), ('atque', 0.5829495191574097), ('donec', 0.5226076245307922), ('disicio', 0.467434287071228), ('procumbo', 0.46617862582206726), ('alterno', 0.4424220323562622), ('suesco', 0.4362553060054779), ('insolitus', 0.43528467416763306), ('certatim', 0.4269286096096039)]",49747,1.0,1,"[('atque', 0.5598876476287842), ('ni', 0.47440052032470703), ('Atque', 0.47162455320358276), ('cumque', 0.4709617793560028), ('namque', 0.45555591583251953), ('ceu', 0.450070858001709), ('miro', 0.44464489817619324), ('comito', 0.44256648421287537), ('suesco', 0.4356870651245117), ('moderamen', 0.43559500575065613)]"
is,38147,43645,0.7396847,0,"[('ii', 0.601900577545166), ('iniquitas', 0.562960684299469), ('eiusmodi', 0.48747795820236206), ('difficillimus', 0.47513848543167114), ('actio', 0.4504762589931488), ('ee', 0.4491502344608307), ('superior', 0.4477979242801666), ('medicinus', 0.447004497051239), ('debeo', 0.4455382525920868), ('reliquus', 0.4449048638343811)]",38147,1.0,1,"[('suus', 0.5652275681495667), ('hereditarius', 0.5483077764511108), ('testator', 0.5319597125053406), ('ille', 0.5166316628456116), ('ipse', 0.49505388736724854), ('defunco', 0.4934806525707245), ('manumitto', 0.47999364137649536), ('unusquisque', 0.4702891409397125), ('hereditas', 0.45579993724823), ('pupillus', 0.4552491307258606)]"
hic,36824,40250,0.77807343,0,"[('iste', 0.605160653591156), ('hice', 0.5693851113319397), ('ille', 0.5462894439697266), ('istic', 0.5291144847869873), ('exquiro', 0.4923570156097412), ('nos', 0.4871923625469208), ('eiusmodi', 0.47580578923225403), ('Epicurus', 0.4598334729671478), ('communis', 0.45758625864982605), ('Stoicus', 0.4345816969871521)]",36824,1.0,1,"[('iste', 0.7191394567489624), ('ille', 0.4497271478176117), ('generalis', 0.4410078525543213), ('praesens', 0.44007018208503723), ('talis', 0.4367898106575012), ('qui', 0.43185901641845703), ('commemoro', 0.417450875043869), ('censeo', 0.41440531611442566), ('huiusmodi', 0.4125717580318451), ('comparatio', 0.4094907343387604)]"
non,35029,37512,0.7282385,0,"[('numquam', 0.6307052373886108), ('neque', 0.6196926236152649), ('Neque', 0.5847406983375549), ('nego', 0.5371517539024353), ('quiuis', 0.5099368095397949), ('etiamsi', 0.4961332678794861), ('nemo', 0.48662063479423523), ('nusquam', 0.48365941643714905), ('dissimulo', 0.477264940738678), ('nihilominus', 0.47436240315437317)]",35029,1.0,1,"[('nequaquam', 0.7047495245933533), ('numquam', 0.6595790386199951), ('neque', 0.6397940516471863), ('nemo', 0.6005423069000244), ('parum', 0.5851815938949585), ('nolo', 0.5495190024375916), ('nec', 0.5151826739311218), ('aliquando', 0.500313937664032), ('quisquam', 0.49060294032096863), ('nullus', 0.4851982295513153)]"
ut,28729,31401,0.784843,0,"[('uti', 0.5084972381591797), ('sicut', 0.5035092234611511), ('qui', 0.5013192892074585), ('quemadmodum', 0.48749396204948425), ('tamquam', 0.45332393050193787), ('atque', 0.3904910981655121), ('quia', 0.38672614097595215), ('quod', 0.37888234853744507), ('enim', 0.3774031400680542), ('quasi', 0.36514732241630554)]",28729,1.0,1,"[('quemadmodum', 0.5203130841255188), ('sicut', 0.49808719754219055), ('qui', 0.4754638373851776), ('quando', 0.42005693912506104), ('cur', 0.41638824343681335), ('quandoquidem', 0.4123228192329407), ('quoniam', 0.39660465717315674), ('quia', 0.3959277272224426), ('qualiter', 0.3952397108078003), ('unde', 0.3923671841621399)]"
cum,27742,31205,0.7484902,0,"[('quum', 0.4266255497932434), ('contra', 0.3867347538471222), ('et', 0.382417231798172), ('atque', 0.37061208486557007), ('propter', 0.3674704432487488), ('priusquam', 0.36130788922309875), ('clamito', 0.35370564460754395), ('concitor', 0.3505055606365204), ('qui', 0.3482036590576172), ('certatus', 0.3477853238582611)]",27742,1.0,1,"[('cumque', 0.4741981625556946), ('Cumque', 0.4050939083099365), ('tunc', 0.3897903561592102), ('inter', 0.3849579095840454), ('antequam', 0.37758567929267883), ('postquam', 0.3495188057422638), ('autem', 0.34689900279045105), ('saluus', 0.3425705134868622), ('polliceor', 0.3415525555610657), ('qualiter', 0.3363400399684906)]"
