Token,Cosine Similarity
[CLS],0.9583164
cogito,0.98803604
ego,0.98154914
et,0.98442715
cum,0.9941876
animus,0.9952495
meus,0.9471653
octavius,0.7752786
bonus,0.963566
fidelissimus,0.97116524
contubernalis,0.9344555
memoria,0.9800369
recenseo,0.98194087
tantus,0.9936862
dulcedo,0.9870007
adfectio,0.9471671
homo,0.9833775
inhaereo,0.981773
ut,0.9928057
ipse,0.98979414
quodammodo,0.9544156
uideo,0.98850405
in,0.9892657
praetereo,0.9923119
redeo,0.99723256
non,0.9880326
is,0.9692825
qui,0.9931387
iam,0.9945873
transigo,0.98720026
decurro,0.9941384
sum,0.98916787
recordatio,0.92955285
reuoco,0.9876443
ita,0.9844694
contemplatio,0.9115109
quantum,0.9940084
subtraho,0.9835311
oculus,0.9718562
tantum,0.98961025
pectus,0.9951605
atque,0.99414945
paene,0.99345165
intimus,0.98753524
sensus,0.99243236
implicatus,0.9353302
[SEP],0.9269844
neque,0.994281
inmerito,0.9616169
discedo,0.99269915
uir,0.98062915
eximius,0.98768187
sanctus,0.9821026
immensus,0.9850636
suus,0.97951734
desiderium,0.9581298
nos,0.98658407
relinquo,0.9895308
utpote,0.9559306
noster,0.96545255
semper,0.9936689
amor,0.993904
ludicrus,0.9842765
seria,0.97810304
par,0.99303603
uoluntas,0.97884476
concino,0.97212476
idem,0.98794377
uolo,0.9947554
uel,0.9833897
nolo,0.9807367
credo,0.97635233
unus,0.98899853
mens,0.99291307
duo,0.99119925
diuido,0.9947343
sic,0.9918654
solus,0.99218047
conscius,0.989815
socius,0.9883547
error,0.97299695
discutio,0.98738265
caligo,0.9888146
de,0.97975147
tenebrae,0.9377313
profundus,0.9927411
lux,0.9848697
sapientia,0.96663684
ueritas,0.97445387
emergo,0.98103005
respuo,0.98947287
comes,0.98643684
sed,0.9940138
gloriose,0.9753812
praecurro,0.9776269
itaque,0.9798415
per,0.9928216
uniuersus,0.97073925
conuinco,0.983756
familiaritas,0.97458625
aetas,0.9872333
cogitatio,0.9676863
uoluo,0.99143934
ille,0.99149126
praecipue,0.9797073
sermo,0.96932054
resideo,0.98894924
intentio,0.94793
q.,0.90026116
caecilius,0.8607522
superstitiosus,0.9519353
uanitas,0.9624536
etiamnunc,0.95757306
disputatio,0.95655775
grauissimus,0.9818797
ad,0.98783875
uerus,0.9890666
religio,0.990468
reformo,0.98280954
nam,0.9939623
negotium,0.9638941
gratia,0.95600563
roma,0.9859344
contendo,0.9911754
domus,0.96405923
coniunx,0.9941894
liber,0.97820634
adhuc,0.98638266
annus,0.98874134
innocens,0.96889865
dimidio,0.9276787
uerbum,0.96964216
tempto,0.99295557
loquella,0.97497
offenso,0.981305
lingua,0.98779935
