Target Word,Neighbor,Cosine Similarity
torcular,torcularis,0.8879628
torcular,lupanar,0.882705
torcular,tabernaculum,0.8724706
torcular,lilium,0.87171775
torcular,atrium,0.8673134
torcular,pratum,0.86405385
torcular,cubile,0.8631981
torcular,horreum,0.86202514
torcular,candelabrum,0.8615214
torcular,cisterna,0.8588054
torcular,plaustrum,0.85732424
torcular,canistrum,0.8554238
torcular,olla,0.85529983
torcular,stagnum,0.8543478
torcular,paries,0.85401857
humanitas,pietas,0.94457066
humanitas,clementia,0.92999434
humanitas,diuinitas,0.9266876
humanitas,eloquentia,0.92464906
humanitas,que,0.9185157
humanitas,modestia,0.9163501
humanitas,obsequium,0.9159821
humanitas,uirtus,0.9152082
humanitas,innocentia,0.9128728
humanitas,constantia,0.9090324
humanitas,amicitia,0.90851235
humanitas,ingenium,0.9083215
humanitas,ars,0.908001
humanitas,philosophia,0.9069552
humanitas,affectus,0.90651935
traduco,abduco,0.9659906
traduco,deduco,0.95427614
traduco,redigo,0.95266825
traduco,adduco,0.9523418
traduco,introduco,0.95176774
traduco,reduco,0.9500829
traduco,perduco,0.9496199
traduco,transfero,0.9492416
traduco,transmitto,0.9492171
traduco,retraho,0.9490931
traduco,traho,0.9477246
traduco,educo,0.947444
traduco,distraho,0.94646066
traduco,duco,0.94598335
traduco,relego,0.945976
machina,scala,0.93838656
machina,fossa,0.93266356
machina,officina,0.93165207
machina,columna,0.92869365
machina,catena,0.92460686
machina,charta,0.92381686
machina,sagitta,0.92328596
machina,techna,0.9218948
machina,fenestra,0.92182064
machina,lacuna,0.9206849
machina,turris,0.92050797
machina,mola,0.920461
machina,sarcina,0.9201015
machina,quadriga,0.91801524
machina,que,0.91764337
commentarius,liber,0.9182891
commentarius,uolumen,0.9130458
commentarius,commentor,0.91303194
commentarius,libellus,0.9128344
commentarius,que,0.9097798
commentarius,narratio,0.9074672
commentarius,conscribo,0.90502244
commentarius,catalogus,0.9039358
commentarius,scribo,0.9036855
commentarius,pagina,0.9033933
commentarius,expono,0.90327007
commentarius,describo,0.90314275
