Token,PRT
cogito,1.0083245656242739
ego,1.004686881510514
et,1.0104074785933324
cum,1.0068721726907879
animus,1.0048976223938406
meus,1.010341458737956
octo,1.0060617181564309
bonus,1.0096559101813192
fidelissimus,1.0297079532484115
contubernalis,1.0629527010194635
memoria,1.025610152853497
recenseo,1.0266263437849978
tantus,1.0144414403879267
dulcedo,1.0086076524061869
adfectio,1.0407598932020525
homo,1.019827942646252
inhaereo,1.0467426302830591
ut,1.0069799854425832
ipse,1.0081194119104737
quodammodo,1.022450473312235
uideo,1.018976762988704
in,1.0073891465889955
praetereo,1.0160044222299414
redeo,1.009606392169835
non,1.0058737064089285
is,1.0141792855112175
qui,1.004205614273291
iam,1.0089891919205405
transigo,1.0177238910655766
decurro,1.0149649288971079
sum,1.0073688832639798
recordatio,1.111422496486315
reuoco,1.0155794430529195
ita,1.011430823712596
contemplatio,1.049515841436006
quantum,1.0433398684526867
subtraho,1.0159357003395835
oculus,1.0058760583835875
pectus,1.0035587984749834
atque,1.0128990370549522
paene,1.0121341113218565
intimus,1.0204872169153083
sensus,1.0140159288567316
implicatus,1.1000969072114926
neque,1.0052629876004981
inmerito,1.0242025400530868
discedo,1.0074641582291053
uir,1.0166489036670152
eximius,1.0156738794707207
sanctus,1.0248557144881714
immensus,1.0177325959472234
suus,1.0122750572410433
desiderium,1.015833280757155
nos,1.0059001818355364
relinquo,1.009519762522514
utpote,1.0238589569295782
noster,1.0159708291685545
semper,1.0082997197687666
amor,1.0179001785079185
ludicrus,1.0217962529057205
seria,1.0186647557764932
par,1.0167012713541181
uoluntas,1.0076102210011446
concino,1.0399439452821853
idem,1.0114226531160966
uolo,1.0062288584904302
uel,1.0136363356246443
nolo,1.0147895338361146
credo,1.00597575603858
unus,1.0066559520219442
mens,1.007964783868926
duo,1.0060390347954182
quis,1.0096830104379309
hic,1.0087043747817894
res,1.0139039082630925
salto,1.030185008455919
de,1.0117071773479889
praesens,1.0123009545204746
caput,1.0603931538557123
experimentum,1.019843440820056
quam,1.0094422579928393
uos,1.0105772226886092
inro,1.2017527585805274
pollicitatio,1.0360898225262802
cassus,1.0217195897243019
uotum,1.018148875396009
decipio,1.0055583399133015
post,1.0080998460860398
mors,1.0052678063190188
miser,1.0054402263682638
dum,1.0118619793881236
adhuc,1.0106880831547569
uiuo,1.0053696125448761
aestimo,1.008558964712553
cella,1.0129019723713217
quidam,1.010499494847103
cisterna,1.0304956954002782
area,1.014291366966279
sub,1.009437216966221
terra,1.007361927385133
ubi,1.0128310403211074
repono,1.0089822136473237
soleo,1.0106480220360239
signum,1.0033094372904092
uetus,1.0191502035662083
ex,1.0115549232522654
templum,1.0059520511756002
collabor,1.050152081370622
alius,1.0101747133590138
religiosus,1.0352858415361057
donum,1.0129319380325719
consecro,1.0277899755347846
porro,1.058392324208957
si,1.006954420129082
magus,1.0366211023483487
phantasma,1.0522761977147392
edo,1.0059107965209617
defunctus,1.0181882357410725
infamo,1.026069800225675
anima,1.0074799483926136
puer,1.0067483736335534
eloquium,1.0172839637922635
oraculum,1.0227210369064224
elido,1.0167633802629115
multus,1.0054450467861231
miraculum,1.0256629461976803
praestigium,1.0365421345215058
ludo,1.006904260283891
somnium,1.0095079174078274
immitto,1.020147176088744
habeo,1.005217934817516
semel,1.0064801561826884
inuito,1.0149347200360066
angelus,1.012045276936529
daemon,1.0219635579687156
adsistens,1.055481620436911
sui,1.0066564352280696
potestas,1.013373433661468
per,1.013584221952573
capra,1.0149499470420371
mensa,1.0175006401371514
diuino,1.0260758245410302
consuesco,1.0123400472632476
quanto,1.0594843181036555
magis,1.007453692224908
arbitrium,1.0275841890657067
pro,1.0083735337240318
negotium,1.0195239017759674
studeo,1.0151853483598436
totus,1.0121203119681792
uis,1.0314309107570767
operor,1.0114226531160966
alienus,1.0110908189772378
praesto,1.011460580433563
negotiatio,1.0681038081418168
iste,1.0123729119360954
superficies,1.0333202535245116
tabula,1.0319368566354494
geminus,1.0054903007124643
pateo,1.0595622031486218
os,1.0051980598734918
praebeo,1.0101775720826809
infundo,1.031775090316826
subicio,1.0416225833434791
foramen,1.0139361392235997
nardum,1.0385238035665905
cinis,1.0153314466498518
uenio,1.007567983088306
ab,1.0153840474126257
sedes,1.030633951202012
repostus,1.0775773787839005
sanctifico,1.0166305454491689
medico,1.0278554617466493
arcanus,1.026747037132122
spiritus,1.0128632031058886
aura,1.0199801551149945
subito,1.011648124646083
solio,1.019925402995139
mos,1.008941620215377
liquor,1.0074447993170816
uasculum,1.0418935552102702
tumulus,1.0126147589130319
subeo,1.018253431075988
bibo,1.0076168777287646
quisque,1.0101849318499736
locus,1.00637709868643
do,1.0070391593153014
nardus,1.0579011340211126
paro,1.0063623692861463
fero,1.0063818073561561
mirus,1.009260812748586
nouitas,1.0122792104890976
repleo,1.0100266292738276
cumulus,1.026903459219047
erumpo,1.0137486033718717
harena,1.0088612924683524
inuenio,1.0082386405293615
pauo,1.0391835344706002
que,1.0041530834620205
manus,1.0079405007351736
puluis,1.005851755175825
fauces,1.0119222167114175
nouus,1.0077916785603416
moueo,1.014000546007212
omnis,1.0082010756249842
studium,1.0108306972864634
accendo,1.011456921725926
subitus,1.0429880610892068
disquiro,1.0349544470452143
causa,1.0111105620128176
prodigium,1.0108507955956707
placeo,1.0079791362961061
ergo,1.017277795543681
dies,1.135495251820258
