Token,PRT
diuus,1.0084283860671217
emo,1.017584633208132
cano,1.0077531784331464
deus,1.0522232689058448
supplico,1.0210510172037304
cuma,1.0533653890828123
tono,1.008628875163328
prae,1.0584390644218147
quot,1.0057837968559904
ibo,1.3955891565524425
de,1.0277131658058498
hic,1.0069384651303206
cum,1.0061285676264775
omnis,1.0160058988989948
uero,1.0401930839365554
nex,1.007311787413538
fortis,1.0194744022977589
sano,1.0253532860997694
res,1.0114899120297864
ubi,1.0100857360716136
paco,1.021117014717602
oro,1.0214863107253525
nemo,1.0131051620657539
uoster,1.3026021427401266
ruminor,1.3759198993164694
mulier,1.0264830062563446
mustela,1.035508785200951
posthac,1.0310301860513251
numquam,1.012613292084927
credo,1.017010042306879
nam,1.0114924123069013
incertior,1.2674043761110987
nullus,1.0057877161191278
nosco,1.0106198350368236
bestia,1.0189265121544457
quin,1.0293450677692018
decio,1.0497304410525476
in,1.011457531508694
dies,1.0220158520372558
muto,1.005194265655338
locus,1.0104805059938424
is,1.0372476992526125
ego,1.0204343343723865
capitalis,1.0171153508054005
meus,1.0462051683129567
non,1.008575941207699
hercle,1.0826306197965982
egoquidem,1.3409083516087057
usquam,1.0122254041353071
quisquam,1.0105606657170156
nuto,1.0101615756029703
neque,1.0067397348162745
nicto,1.492835558232072
tu,1.01542491508477
magnus,1.00969911329735
praeda,1.009802913108773
ago,1.0094054535831387
possum,1.005938480192045
dico,1.0353100546151883
ex,1.00826869446841
ager,1.0168214293766396
hostis,1.0114763131780216
qui,1.0070137118844635
circa,1.0161758675723722
thyatira,1.108387206058533
sum,1.009123982550927
hortor,1.0113096197532019
perpello,1.0584332550564188
livium,1.1436497478849534
ut,1.0102607254442122
quinque,1.0090405913935003
mille,1.015196344202618
miles,1.0104449646737281
sui,1.006533957319958
mitto,1.020743638397719
ingens,1.006716295974981
intra,1.012045215887331
paucus,1.012603818922429
auerto,1.0254422785563386
inter,1.0058061069156268
phocaea,1.1429704272387118
seditio,1.0118843157960002
orior,1.0262612323295346
quidam,1.013143705129399
ad,1.0112002684766337
antiochus,1.0160060219549432
multitudo,1.0183887303083141
animus,1.006776284671886
auoco,1.025438204620604
grauis,1.0063122080468072
hiberna,1.0243388620991563
nauis,1.0130282070712406
tributum,1.0202568579266376
quod,1.0117012595660226
toga,1.0133965713968167
quingenti,1.0143382793049118
imperaio,1.8618719023764447
tunica,1.020387352955147
etiam,1.0137893394990978
inopia,1.010623000668941
frumentum,1.028277103045376
propter,1.0198352577255918
quoque,1.0206897357301175
et,1.0184759614357284
praesidium,1.0205016178060489
romanus,1.0137496447057777
excedo,1.0136174736533536
tum,1.0124448795823449
libero,1.0338165882507644
metus,1.0059050066647768
factio,1.0275999868190577
plebs,1.058168562561763
contio,1.0115719397644611
traho,1.0047002984119688
senatus,1.0075349455846851
optimas,1.0419398848732424
societas,1.0125799228935477
persto,1.017095125935816
censeo,1.0243754501085145
defectio,1.0437589870398742
auctor,1.0165670976543821
plus,1.0067185310751414
apud,1.0113863138533004
ualeo,1.0171884876868849
rhodium,1.0169877256247661
quo,1.0111821065080426
magis,1.0148706242623122
cesso,1.02609967148353
prior,1.00982078244243
aestas,1.0155772299099957
mature,1.0139225357926305
aequinoctium,1.0145805754799648
uernus,1.0269279103684719
idem,1.0095335518010347
classis,1.008400080300719
praefectus,1.0216686947131015
sex,1.0112083135839747
triginta,1.0148002755779062
iam,1.0072952767903953
liuius,1.0316272666822686
ab,1.0079933680093327
canis,1.0097713698082187
suus,1.02094346326802
septem,1.0180131457135657
quadriremis,1.1735237098120344
eumenes,1.043977734818384
rex,1.0241944119031383
adduco,1.0341155741335504
hellespontum,1.0185392148940728
peto,1.0043917401831206
transeo,1.0121275168935102
exercitus,1.0427622096453983
terra,1.0267992563221977
uenio,1.0164491550833528
opinor,1.0245203893237276
praeparo,1.0384692280466892
opus,1.0308156899224425
portus,1.0097476680467639
uoco,1.0196840181098703
achaeor,1.0164231067068763
primum,1.0108282611820796
adverto,1.1895315481301723
inde,1.0236250123703463
ile,1.0327962927418077
escendo,1.0747864132141485
sacrificium,1.048908241685554
que,1.0039186250566892
,1.0109701229243577
facio,1.0147483490365186
legatio,1.012442741177116
finitimus,1.0136269045512514
dardanus,1.0162449913008198
trado,1.013180109604663
fides,1.0230480108658655
ciuitas,1.0452946893084247
benigne,1.019244066838999
fauces,1.010996440858675
nauigo,1.0102752650019007
decem,1.0117983321373276
statio,1.0176578375962257
contra,1.028095943274003
relinquo,1.0064141051886857
ceterus,1.0087444639118603
europa,1.017003260891045
sestus,1.3152140246716455
oppugnandus,1.0508555026205908
subeo,1.005145666060843
armo,1.0119726336011967
murus,1.0165438765092925
fanaticus,1.046576646139631
gallus,1.0094299288239827
sollemnis,1.0089991437119359
habitus,1.0145620464705403
ante,1.0140017104296926
porta,1.0273299812814891
occurro,1.009420940260161
iussus,1.0167576496589266
mater,1.0087185056848735
famulus,1.0181122365538793
dea,1.0169200417891355
memoro,1.0092458773916495
precor,1.00759497137487
parco,1.0126818097176244
moenia,1.0106455259316063
urbs,1.0086996443533298
ne,1.014802055659939
ecastor,1.1705343385226563
miser,1.016640217313517
uiolo,1.010786970998975
mox,1.016085276176986
uniuersus,1.0519449853085738
magistratus,1.018882082663632
dedo,1.0116839336746213
procedo,1.0162890064108312
traicio,1.0176646894734174
tempto,1.008776367674981
per,1.0065095619277076
colloquium,1.0161016454372374
nihil,1.0067180478094009
respondeo,1.0531984220494737
oppugnatio,1.0254593267616439
expedio,1.0101842019509062
dum,1.0086353028031247
gero,1.013966043544195
regius,1.0095010534429367
praeficio,1.0168226619137573
autem,1.0357180139830318
exul,1.0103871545113021
rhodius,1.0268759294983496
audio,1.0245492944948025
prŏfectus,1.0241240150174435
domus,1.039380599833275
popularis,1.0192718700320857
superbe,1.0248133955930354
contemptim,1.1051355965540923
contionor,1.0479196093546905
praecipuus,1.013635968176941
certamen,1.012141804930202
aduersus,1.0206716659486914
sumo,1.0085219215590802
alius,1.0062224614846127
nox,1.007950674075232
agito,1.0095171504989755
quam,1.0063725107942065
uerbum,1.0221273060624156
magnifico,1.126471882711998
homo,1.0207993479429214
ille,1.0148286348689106
patria,1.008227007227507
usus,1.007089453507486
licet,1.0228267208623116
restituo,1.011063886820156
quisnam,1.0143001358710602
modo,1.0177466105021582
mirabundus,1.1079171504978134
do,1.0091629517031788
communiter,1.0240175628012176
aut,1.0058489811870832
tego,1.0054835515329006
silentium,1.0128913930817456
internuntius,1.0888181046891263
regia,1.0149954465846844
totus,1.0078547621710847
maior,1.0122126404708258
pars,1.0062093056339558
pretium,1.008670535000934
tantus,1.0048876309670312
meritum,1.0232047430909106
paciscor,1.0236990884515391
redeo,1.007478193905559
magnitudo,1.0115421155024296
aspernor,1.011565291668257
efficio,1.0193763468117087
samia,1.0968665077624355
ibi,1.0205330280553246
exploro,1.0115885908843396
offero,1.031405674041396
misera,1.3401582511850947
ultro,1.0086915784686652
citer,1.028077799308218
nuntium,1.0338930387732321
curso,1.0939570296967984
coram,1.1000819034758587
nuntio,1.0181204538051012
manus,1.0244156061116836
scribo,1.017950081103675
polliceor,1.0135787108317165
signum,1.0190842124342587
imprimo,1.0258253731034825
pignus,1.010323023397737
uelut,1.014177384999919
auctoro,1.1054441219587583
proditor,1.0156013290967214
ratus,1.0244428164078248
enim,1.0229592463575723
sub,1.00743663249921
uiuo,1.0119674451905776
semet,1.0279296475552353
ipse,1.010998999619818
indicium,1.0115306497920018
testor,1.0167123616741764
ratio,1.0080544781028415
simulo,1.0066398252836084
proditio,1.0133205513765084
compositus,1.0237289467669022
apparatus,1.0095960031176299
remex,1.0242047909481902
socius,1.0170255782549795
naualis,1.018560053775296
frequens,1.0186774352707648
habeo,1.0069261366139366
simulatio,1.0190983880448548
reficio,1.0165124649773642
propinquus,1.0128503010590388
ephesus,1.0297416392647334
salum,1.0246477219516756
si,1.007861422130206
exeo,1.0227375583264409
cogo,1.0058917384957373
neglegentia,1.013874497767837
extemplo,1.0549086164243957
commeatus,1.0196577417020243
accersendus,1.6542114506006287
samus,1.0353385495573162
maneo,1.008196289330161
paro,1.0061559615817333
accipio,1.0103359828240879
augio,1.0301159361310555
error,1.0116113422016966
subduco,1.0114478360497747
ephesum,1.0747114372563842
accerso,1.0314777097444217
sed,1.0080551443587642
magnesius,1.082929222252918
occulo,1.009370898750278
forte,1.0202505915303568
privatus,1.0375906388104246
causa,1.010152756467691
pro,1.0123349772527754
speculator,1.0300728022531271
deprehendo,1.013687964675269
deduco,1.0122349923629341
percuncto,1.0884541010712347
quis,1.009680701390762
incertus,1.0082872367035147
an,1.004459871335957
erga,1.0381093275864426
haud,1.0251174055020056
sincerus,1.0263085678686665
aperio,1.0147800199118604
instructus,1.0172671863310931
sto,1.0148687211590781
remigium,1.035309671285852
sipylus,1.0993609084560714
perpaucus,1.058684718700926
detego,1.0134232606789226
administro,1.0203440991214097
uus,1.0187439923296129
spes,1.0139034180741897
uanus,1.0104576229394355
praeoccupo,1.0444397574505564
satis,1.011499791245578
comparo,1.0152573478130553
magnesium,1.0633676432997323
raptim,1.0268490297359458
tam,1.0102995999260276
absumo,1.013626782070933
conspicio,1.0104552494904575
prŏficiscens,1.0397791435148818
nolo,1.0394817045025204
post,1.0096284468314731
sol,1.0053694920519485
occasus,1.0073736617059792
proficiscor,1.014545972182798
septuaginta,1.038751038226871
uentus,1.0117316423153466
lux,1.0126077915173808
interdiu,1.0244155435609439
ob,1.0125431337700908
proximus,1.0214644812629101
hinc,1.0162765094255903
nicander,1.2331295612417308
atque,1.0095382293070645
qua,1.0110911845820012
iter,1.0092939028171433
tergum,1.009876643383482
duco,1.0059232208123237
interim,1.0206280154737795
diuido,1.0090354330045666
uterque,1.006373597396479
teneo,1.0061343600565305
primo,1.0224082282052576
turbo,1.0090294250651182
parumper,1.0488063440933215
deinde,1.0121018727112325
uetus,1.0092782986062128
celeriter,1.029427553733776
colligo,1.011534735946227
melior,1.0084523896323268
arceo,1.0117130951991855
mare,1.012849261571942
duo,1.0078961764358505
agmen,1.0166070750021192
promunturium,1.0896337398272338
cornu,1.0179752813032925
obiectum,1.016728381452524
altus,1.0119982712346045
facile,1.0083432311211693
telum,1.0032709188891291
anceps,1.0095512901053334
summoueo,1.015227428711402
inceptum,1.0354369522243678
uisus,1.0084252947819337
repens,1.011053041243587
consilium,1.0144953599090165
conscendo,1.017779209726488
iubeo,1.010392630979876
pariter,1.0104690034779031
nauta,1.0199416481976744
trepidatio,1.0348855635600123
fuga,1.0096711007289374
fio,1.0103271606432624
simul,1.0188124141335038
unus,1.010583857803761
uia,1.025350278173943
salus,1.0269276589368457
uis,1.0072331702461497
erumpo,1.0101983135198043
postquam,1.0178881976724714
uideo,1.0167828524752347
sequor,1.0082677249585388
princeps,1.0233406123751925
concito,1.0156850703663272
remus,1.0101551893172152
ostium,1.0303114120212464
tendo,1.0072811252584812
supero,1.006400280255205
tres,1.0087237821321766
circumsisto,1.0443814377766896
rostrum,1.012797717917282
ingo,1.0410390723112923
supprimo,1.0278115724689723
obruo,1.0109197449601084
propugnator,1.0283420840683501
impigre,1.038981653790776
pugno,1.01168399468024
interficio,1.018073870542381
reliquus,1.0220859593868465
deprendo,1.0112221490300572
molior,1.0091512363612654
tantum,1.0092637877302006
rhodia,1.2097856023882447
coeo,1.0066354161904154
effugio,1.0128842384273564
terror,1.0171591330038032
flamma,1.004742536916791
mico,1.0066169346584002
confercio,1.019407935590921
contus,1.0315807712671716
binus,1.009423187386109
prora,1.0156149776128094
promineo,1.0198846682554301
trulla,1.0490412497942838
ferreus,1.014266410144057
multum,1.0182432958976801
conceptus,1.030736590874477
ignis,1.0151978185236696
porto,1.0181314515368507
erythraeus,1.024250811416956
triremis,1.0726630510602009
procul,1.0124636979378763
fugio,1.0093509806948544
cursus,1.004918930076105
confidenter,1.056793161275067
pernego,1.1509374253318636
tempus,1.0098433327422542
seleucus,1.0094486352673238
prodo,1.0094686786545821
una,1.0269308018410208
custos,1.0110460343936836
recipio,1.01180327473389
cyma,1.1422187325136814
ora,1.017566056029764
abydus,1.0382883149107658
aliquot,1.0195222909538295
obsidio,1.0154040199241043
tolero,1.0204512785341162
regio,1.0117800876619538
tutor,1.039081007637336
fessus,1.0058172020164766
philota,1.0477898301930333
permitto,1.0098048580395882
condicio,1.0156088295871852
distineo,1.0572638009685085
uter,1.0252579810298244
armatus,1.0124758569227152
inermis,1.0221000318256055
emitto,1.0119778831060862
parum,1.0071040832901632
conuenio,1.008140856441797
interuenio,1.0297094068208763
nuntius,1.026980902331009
clades,1.015293904345138
metuo,1.012018232862898
successus,1.013358253922311
inflo,1.0113618046170842
opprimo,1.0097140013035777
custodia,1.022537965431019
adiungo,1.0116788092289102
ualidus,1.0077673432322358
castra,1.0196828406003464
depopulatus,1.0486482256465415
maritimus,1.0235365223718582
impono,1.009380250791394
moror,1.017029893880356
eume,1.015263798774486
adsequor,1.024010125100114
intendo,1.018522334170344
pauor,1.0143379113481168
