Word,Frequency_t_reference-last,Frequency_t0,"Cosine_similarity(w_t_reference-last,w_t0)",interval-0,neighbours_t0,Frequency_t1,"Cosine_similarity(w_t_reference-last,w_t1)",interval-1,neighbours_t1,Frequency_t2,"Cosine_similarity(w_t_reference-last,w_t2)",interval-2,neighbours_t2,Frequency_t3,"Cosine_similarity(w_t_reference-last,w_t3)",interval-3,neighbours_t3
et,54029,118034,0.05803605914115906,0,"[('atque', 0.7087029218673706), ('que', 0.7004097104072571), ('uelut', 0.4253695607185364), ('deformo', 0.42496246099472046), ('armum', 0.4228549599647522), ('exercito', 0.419818639755249), ('consimilis', 0.410163551568985), ('regendus', 0.4093336760997772), ('admirandus', 0.40630266070365906), ('dein', 0.4044269919395447)]",99547,0.05730288475751877,1,"[('cumque', 0.5415673851966858), ('coram', 0.4924257695674896), ('quasi', 0.4888129234313965), ('autem', 0.47864866256713867), ('sicut', 0.4587358832359314), ('iuxta', 0.4486793577671051), ('uae', 0.4466654062271118), ('eicio', 0.42659252882003784), ('ecce', 0.41285204887390137), ('uerumtamen', 0.4121828079223633)]",111496,0.19229580461978912,2,"[('atque', 0.4552074670791626), ('autem', 0.44979724287986755), ('quia', 0.44939279556274414), ('quoque', 0.42665645480155945), ('que', 0.3974602520465851), ('ducendus', 0.39080384373664856), ('qui', 0.3907107412815094), ('quoniam', 0.3854619860649109), ('quippe', 0.3833250105381012), ('cum', 0.37715399265289307)]",54029,1,3,"[('sicut', 0.49205416440963745), ('autem', 0.4912208318710327), ('repleo', 0.4693715572357178), ('quoniam', 0.46067550778388977), ('iuxta', 0.4556950330734253), ('aeternitas', 0.44769060611724854), ('germino', 0.4318724572658539), ('habitator', 0.4250011146068573), ('publicanus', 0.4239197075366974), ('supernus', 0.4238773584365845)]"
sum,45116,96157,0.02715093269944191,0,"[('habeo', 0.5969561338424683), ('fio', 0.5588062405586243), ('desidero', 0.4974205493927002), ('consto', 0.4789331257343292), ('euenio', 0.4671933352947235), ('facio', 0.46188002824783325), ('efficio', 0.4613051116466522), ('aestimo', 0.4589517116546631), ('conuenio', 0.45159095525741577), ('accido', 0.4479314386844635)]",61678,0.018352141603827477,1,"[('intersum', 0.5156670808792114), ('appareo', 0.5120655298233032), ('inuenio', 0.47265326976776123), ('habeo', 0.4656907618045807), ('habito', 0.4571990370750427), ('fio', 0.45123112201690674), ('euenio', 0.444517582654953), ('praecedo', 0.44199591875076294), ('supersum', 0.4398554563522339), ('requiro', 0.4320056438446045)]",109417,0.4158078134059906,2,"[('existo', 0.5513516068458557), ('consisto', 0.528290331363678), ('simpliciter', 0.518362283706665), ('insum', 0.5117171406745911), ('utique', 0.5094084739685059), ('attribuo', 0.4953312277793884), ('determino', 0.4760458767414093), ('habeo', 0.4751250147819519), ('prŏfectus', 0.47453850507736206), ('euenio', 0.46757322549819946)]",45116,1,3,"[('inuenio', 0.47353190183639526), ('habeo', 0.45445409417152405), ('ignoro', 0.45247235894203186), ('scio', 0.44858846068382263), ('maneo', 0.43007150292396545), ('constituo', 0.4293142259120941), ('appareo', 0.4153203070163727), ('remaneo', 0.410715252161026), ('desum', 0.4079448878765106), ('intellego', 0.3944040834903717)]"
qui,41796,95129,0.21544955670833588,0,"[('quod', 0.6396672129631042), ('quia', 0.5336070656776428), ('ut', 0.49519893527030945), ('Qui', 0.46178779006004333), ('autem', 0.4416469633579254), ('quo', 0.43188294768333435), ('sicut', 0.4317077696323395), ('itaque', 0.41554176807403564), ('quicumque', 0.40185418725013733), ('idoneus', 0.40103718638420105)]",56013,0.20493747293949127,1,"[('quia', 0.5096613168716431), ('quoniam', 0.5037301182746887), ('quod', 0.48531946539878845), ('Qui', 0.4674157202243805), ('quicumque', 0.4653916358947754), ('quisquis', 0.4554101526737213), ('numquid', 0.44291868805885315), ('unde', 0.4428074359893799), ('quidquid', 0.41392868757247925), ('enim', 0.39500197768211365)]",87296,0.4343174695968628,2,"[('quod', 0.6495525240898132), ('quia', 0.6350511312484741), ('ut', 0.5476178526878357), ('quoniam', 0.533073902130127), ('unde', 0.5137466788291931), ('sicut', 0.49824023246765137), ('autem', 0.4733291566371918), ('ubi', 0.4596136808395386), ('Qui', 0.4576481580734253), ('sed', 0.4561588764190674)]",41796,1,3,"[('quicumque', 0.4721740484237671), ('quod', 0.4497116804122925), ('quoniam', 0.44618478417396545), ('quia', 0.44591450691223145), ('qualis', 0.4229793846607208), ('unde', 0.381998211145401), ('quidquid', 0.37497714161872864), ('quandoquidem', 0.3623526394367218), ('Qui', 0.35319042205810547), ('quisquis', 0.35062119364738464)]"
in,41081,67844,0.07778457552194595,0,"[('ex', 0.4794599115848541), ('occupo', 0.46450427174568176), ('circa', 0.46189844608306885), ('ad', 0.45110756158828735), ('extra', 0.4448734521865845), ('intra', 0.43402084708213806), ('e', 0.42902737855911255), ('attribuo', 0.40768852829933167), ('contraho', 0.404268741607666), ('dirimo', 0.3908291757106781)]",48810,0.15836185216903687,1,"[('extra', 0.45094364881515503), ('iuxta', 0.4441543221473694), ('firmamentum', 0.4106171131134033), ('super', 0.39371636509895325), ('subuerto', 0.38797539472579956), ('repleo', 0.37922829389572144), ('tabernaculum', 0.3735988438129425), ('ibi', 0.36743077635765076), ('destruo', 0.36440056562423706), ('possideo', 0.3599347174167633)]",67147,0.4067099392414093,2,"[('circa', 0.4769701063632965), ('super', 0.45657220482826233), ('ad', 0.4319995641708374), ('de', 0.42788437008857727), ('extra', 0.4132668673992157), ('iuxta', 0.40420106053352356), ('propter', 0.38976529240608215), ('derelinquo', 0.38910484313964844), ('relinquo', 0.38384097814559937), ('per', 0.38082489371299744)]",41081,1,3,"[('extra', 0.46657565236091614), ('e', 0.433365136384964), ('excepto', 0.43202659487724304), ('incolo', 0.38450515270233154), ('circa', 0.3812471032142639), ('destruo', 0.3648298680782318), ('novus', 0.3564507067203522), ('proximus', 0.35333171486854553), ('metior', 0.33802857995033264), ('aedifico', 0.3373549282550812)]"
is,21897,66081,0.10528280586004257,0,"[('et', 0.7004096508026123), ('atque', 0.6091597080230713), ('cumque', 0.606941282749176), ('donec', 0.4962111711502075), ('roboro', 0.44278115034103394), ('certatim', 0.44142553210258484), ('defectus', 0.44066697359085083), ('affligo', 0.43856486678123474), ('uerendus', 0.4372488260269165), ('cumulo', 0.4317967891693115)]",30808,0.07812385261058807,1,"[('quisque', 0.4708693325519562), ('Cumque', 0.42331236600875854), ('atque', 0.4205503761768341), ('ceu', 0.4130432605743408), ('ni', 0.39986494183540344), ('namque', 0.394419401884079), ('Cunctus', 0.3940941095352173), ('mox', 0.39318573474884033), ('cumque', 0.384817510843277), ('Quod', 0.38281896710395813)]",50044,0.3989676833152771,2,"[('ipse', 0.6091796159744263), ('suus', 0.5210229754447937), ('ille', 0.4949706494808197), ('statim', 0.46655380725860596), ('emptor', 0.46192389726638794), ('hic', 0.44579964876174927), ('creditor', 0.4396793246269226), ('defunco', 0.43917685747146606), ('debitor', 0.4318959712982178), ('idem', 0.42896872758865356)]",21897,1,3,"[('semetipse', 0.5023294687271118), ('Iudaei', 0.45712000131607056), ('suus', 0.4555187225341797), ('ipse', 0.4199352264404297), ('ideo', 0.41652044653892517), ('iniquitas', 0.4105580151081085), ('tuto', 0.39588165283203125), ('unusquisque', 0.37245938181877136), ('sacerdos', 0.37226617336273193), ('omnis', 0.3644651770591736)]"
hic,18792,44228,0.22884096205234528,0,"[('eiusmodi', 0.4592410922050476), ('superior', 0.459004670381546), ('medicinus', 0.45567193627357483), ('iniquitas', 0.454790323972702), ('sui', 0.451088547706604), ('tutior', 0.44376683235168457), ('idem', 0.44293272495269775), ('ideo', 0.43804723024368286), ('aliqui', 0.4267134368419647), ('aliquis', 0.42608463764190674)]",27196,0.1958361119031906,1,"[('suus', 0.5218087434768677), ('Hierosolyma', 0.4720802903175354), ('iniquitas', 0.458839476108551), ('tuus', 0.4545093774795532), ('ille', 0.452737033367157), ('infidelis', 0.44991034269332886), ('uniuersus', 0.4360434412956238), ('alteruter', 0.43096724152565), ('Dominus', 0.42946213483810425), ('Aegyptius', 0.4153054356575012)]",39689,0.16238485276699066,2,"[('cumque', 0.5104941129684448), ('Atque', 0.49154794216156006), ('atque', 0.4901800751686096), ('quique', 0.448024183511734), ('qua', 0.4462042450904846), ('Cumque', 0.4239928126335144), ('Qui', 0.4225887954235077), ('et', 0.39746031165122986), ('comito', 0.38276180624961853), ('turba', 0.3819359242916107)]",18792,1,3,"[('iste', 0.5453408360481262), ('quonam', 0.46543648838996887), ('mirus', 0.40583327412605286), ('uitupero', 0.40513595938682556), ('eiusmodi', 0.4048599898815155), ('praecipuus', 0.4024040102958679), ('quicumque', 0.39665278792381287), ('praetereo', 0.3927765190601349), ('manifestus', 0.3893999457359314), ('delecto', 0.3771134614944458)]"
non,17087,42022,0.1066833883523941,0,"[('iste', 0.6372477412223816), ('ille', 0.5672879815101624), ('hice', 0.5496852993965149), ('istic', 0.5117325186729431), ('eiusmodi', 0.5040412545204163), ('medicinus', 0.4899045526981354), ('exquiro', 0.481562077999115), ('quaerendus', 0.44006651639938354), ('communis', 0.43221238255500793), ('usitatus', 0.43202000856399536)]",23661,0.006551610771566629,1,"[('iste', 0.6398816704750061), ('istic', 0.4441048800945282), ('assero', 0.4418192207813263), ('uerum', 0.41757839918136597), ('consto', 0.3906462490558624), ('specialis', 0.3795866370201111), ('sed', 0.3726350665092468), ('significo', 0.36925238370895386), ('Homerus', 0.36848071217536926), ('quicumque', 0.36611342430114746)]",38339,0.29617053270339966,2,"[('iste', 0.6733285784721375), ('talis', 0.5237349271774292), ('ille', 0.4768875539302826), ('is', 0.4457996189594269), ('praesens', 0.44575291872024536), ('superfluo', 0.4305368959903717), ('huiusmodi', 0.4195939898490906), ('principalis', 0.4140067994594574), ('qui', 0.40738150477409363), ('aliquis', 0.3957686126232147)]",17087,1,3,"[('nemo', 0.5345118641853333), ('neque', 0.5222572088241577), ('numquam', 0.509602963924408), ('nequaquam', 0.48464879393577576), ('nolo', 0.47334811091423035), ('tantum', 0.4405022859573364), ('solus', 0.43343159556388855), ('sin', 0.42927369475364685), ('nondum', 0.42607417702674866), ('quisquis', 0.4214271008968353)]"
que,16721,39652,0.06723135709762573,0,"[('neque', 0.5886580944061279), ('numquam', 0.5593924522399902), ('Neque', 0.5495617985725403), ('nego', 0.5255538821220398), ('quiuis', 0.5182005763053894), ('nusquam', 0.4917062520980835), ('dissimulo', 0.48867112398147583), ('nec', 0.48451513051986694), ('nemo', 0.4813425838947296), ('tolerabilis', 0.4683295488357544)]",21312,0.13039278984069824,1,"[('nequaquam', 0.6212387084960938), ('numquam', 0.615230917930603), ('nemo', 0.6061117649078369), ('neque', 0.6014444231987), ('nolo', 0.5116545557975769), ('nec', 0.4798658788204193), ('fas', 0.4598879814147949), ('quisquam', 0.4584128260612488), ('etiamsi', 0.4510883092880249), ('tantummodo', 0.4507761299610138)]",32577,0.3121517300605774,2,"[('nequaquam', 0.6836681962013245), ('neque', 0.6027223467826843), ('Neque', 0.5986135601997375), ('numquam', 0.5874159932136536), ('parum', 0.5769709348678589), ('nemo', 0.5148868560791016), ('impotens', 0.48698943853378296), ('quantum', 0.4855503737926483), ('quandoque', 0.47997453808784485), ('nihil', 0.4741990566253662)]",16721,1,3,"[('atque', 0.5301443934440613), ('undique', 0.43663734197616577), ('dehinc', 0.422067254781723), ('habena', 0.4168805181980133), ('ostento', 0.4128347337245941), ('pariter', 0.40474238991737366), ('qua', 0.3939012289047241), ('firmo', 0.388546884059906), ('cupido', 0.3809557557106018), ('passum', 0.379550963640213)]"
ad,16511,32566,0.07945602387189865,0,"[('uti', 0.5379394292831421), ('sicut', 0.5318615436553955), ('quemadmodum', 0.5057095885276794), ('qui', 0.49519896507263184), ('quasi', 0.4841579794883728), ('tamquam', 0.44167056679725647), ('utor', 0.4168511629104614), ('quoniam', 0.39623379707336426), ('quia', 0.3812159299850464), ('enim', 0.36757636070251465)]",18141,0.01514530275017023,1,"[('quemadmodum', 0.5116360783576965), ('sicut', 0.49666598439216614), ('quantum', 0.3921869099140167), ('qui', 0.3594639301300049), ('quia', 0.3565078675746918), ('oportet', 0.3533473312854767), ('enim', 0.3475797176361084), ('dumtaxat', 0.34656673669815063), ('quomodo', 0.3448956608772278), ('qualiter', 0.33696654438972473)]",30243,0.32936134934425354,2,"[('in', 0.4319995045661926), ('intendo', 0.3544038236141205), ('iuxta', 0.3471035957336426), ('prosequor', 0.3441387414932251), ('percipio', 0.3349900245666504), ('illic', 0.33372679352760315), ('deputo', 0.3134761154651642), ('incolumitas', 0.3131332993507385), ('praeparo', 0.3115776777267456), ('reseruo', 0.3105146586894989)]",16511,1,3,"[('nuntius', 0.3817882835865021), ('adiuvo', 0.37378358840942383), ('persequor', 0.3684951961040497), ('quorsum', 0.3527336120605469), ('destino', 0.3496144413948059), ('huc', 0.34385377168655396), ('obuius', 0.33612194657325745), ('summum', 0.33351725339889526), ('pristinus', 0.3269570767879486), ('antistes', 0.3268563747406006)]"
ut,14378,32277,0.1086958795785904,0,"[('quum', 0.43480855226516724), ('Cumque', 0.41596519947052), ('contra', 0.3951425850391388), ('et', 0.3838801085948944), ('atque', 0.36580413579940796), ('coniunctum', 0.35244083404541016), ('nonnes', 0.3515883982181549), ('priusquam', 0.34689000248908997), ('qui', 0.34047937393188477), ('postquam', 0.33794519305229187)]",17564,0.19545878469944,1,"[('cumque', 0.469804972410202), ('apud', 0.3317490220069885), ('Cumque', 0.31930774450302124), ('adscisco', 0.305438369512558), ('penis', 0.29534879326820374), ('aduersus', 0.29446297883987427), ('coniungo', 0.291227787733078), ('foedero', 0.2909367084503174), ('auxilior', 0.29015305638313293), ('antequam', 0.29011061787605286)]",27383,0.4188259243965149,2,"[('quod', 0.5858330130577087), ('qui', 0.5476177930831909), ('sicut', 0.5118625164031982), ('prout', 0.48220884799957275), ('quatenus', 0.48179852962493896), ('quandoquidem', 0.4358302056789398), ('demos', 0.40652334690093994), ('donec', 0.39114639163017273), ('quantum', 0.3899405598640442), ('ne', 0.3849068880081177)]",14378,1,3,"[('quemadmodum', 0.40577104687690735), ('sicut', 0.38707444071769714), ('particeps', 0.3563659191131592), ('extollo', 0.3516092300415039), ('quantum', 0.329903781414032), ('quatenus', 0.32457202672958374), ('unde', 0.3222358822822571), ('prout', 0.3132726848125458), ('quandoquidem', 0.30385082960128784), ('idcirco', 0.30190449953079224)]"
