Word,Frequency_t_reference-last,Frequency_t0,"Cosine_similarity(w_t_reference-last,w_t0)",interval-0,neighbours_t0,Frequency_t1,"Cosine_similarity(w_t_reference-last,w_t1)",interval-1,neighbours_t1,Frequency_t2,"Cosine_similarity(w_t_reference-last,w_t2)",interval-2,neighbours_t2,Frequency_t3,"Cosine_similarity(w_t_reference-last,w_t3)",interval-3,neighbours_t3
populus,2047,4725,0.09651635587215424,0,"[('uox', 0.6349189281463623), ('oratio', 0.5751495361328125), ('breuiter', 0.5549295544624329), ('interpretatio', 0.5318542718887329), ('compositio', 0.5312137603759766), ('sonus', 0.5222432017326355), ('sententia', 0.5217673778533936), ('significatio', 0.5087172985076904), ('sermo', 0.504306972026825), ('pronuntiatio', 0.4994012117385864)]",2679,0.047878097742795944,1,"[('sermo', 0.8077818751335144), ('scriptura', 0.5804280638694763), ('eloquium', 0.5693458318710327), ('interpres', 0.5310617089271545), ('lingua', 0.527772843837738), ('dissero', 0.5263056755065918), ('uox', 0.5060456395149231), ('proprie', 0.48891711235046387), ('auditor', 0.48608851432800293), ('manifestus', 0.473813533782959)]",3964,0.2255142778158188,2,"[('etiamsi', 0.4603976309299469), ('si', 0.457061231136322), ('etsi', 0.44837161898612976), ('sed', 0.40700384974479675), ('ambigo', 0.4035671651363373), ('umquam', 0.3871689736843109), ('proficio', 0.38233843445777893), ('prohibeo', 0.3745671510696411), ('praeter', 0.3676304817199707), ('qui', 0.3639342188835144)]",2047,1,3,"[('plebs', 0.6392802596092224), ('gens', 0.5644101500511169), ('uniuersus', 0.5201524496078491), ('regnum', 0.5156029462814331), ('Aegyptus', 0.5120656490325928), ('hereditas', 0.49399539828300476), ('princeps', 0.4802032709121704), ('rex', 0.4724810719490051), ('multitudo', 0.4676063060760498), ('exercitus', 0.4658680558204651)]"
sacerdos,768,1851,0.16331979632377625,0,"[('magnus', 0.6639509797096252), ('maximus', 0.5565993189811707), ('minor', 0.5535708665847778), ('leuior', 0.46434909105300903), ('facilior', 0.4572049081325531), ('melior', 0.4479340612888336), ('grauior', 0.4407333731651306), ('plus', 0.41756564378738403), ('amplior', 0.4171547591686249), ('augeo', 0.4137926995754242)]",1024,0.11541790515184402,1,"[('maximus', 0.53492271900177), ('magnus', 0.5297145843505859), ('minor', 0.5275844931602478), ('dignitas', 0.5010161399841309), ('plus', 0.4741963744163513), ('augeo', 0.4691479802131653), ('inferior', 0.4639550745487213), ('amplus', 0.46035680174827576), ('melior', 0.45468130707740784), ('amplior', 0.4416177570819855)]",1511,0.23474767804145813,2,"[('interrogo', 0.713268518447876), ('loquor', 0.6225846409797668), ('obsecro', 0.6115888953208923), ('respondo', 0.5917708277702332), ('uae', 0.5822972059249878), ('acquiesco', 0.5645771026611328), ('suggero', 0.5636272430419922), ('audio', 0.5561860203742981), ('nonne', 0.5553894639015198), ('adicio', 0.5390138626098633)]",768,1,3,"[('minister', 0.7088908553123474), ('fidelis', 0.5962671637535095), ('sacrificium', 0.5837951898574829), ('consecro', 0.566261887550354), ('missa', 0.5601153373718262), ('hostia', 0.5485090017318726), ('adsisto', 0.5311425924301147), ('senior', 0.5173667669296265), ('ministerium', 0.5171829462051392), ('sacerdotium', 0.5161275267601013)]"
patria,516,1208,-0.19862525165081024,0,"[('sacer', 0.7659971117973328), ('sacrificium', 0.7223221063613892), ('antistes', 0.7213064432144165), ('caerimonia', 0.7155643701553345), ('sacro', 0.7043513059616089), ('sollemnis', 0.6923937201499939), ('sacrum', 0.6918672323226929), ('rite', 0.6829099655151367), ('delubrum', 0.6820352077484131), ('altar', 0.6733875274658203)]",655,-0.22287465631961823,1,"[('pontifex', 0.7035117149353027), ('scriba', 0.6324571371078491), ('sacerdotium', 0.607973039150238), ('antistes', 0.6063684821128845), ('minister', 0.6061503887176514), ('sacrificium', 0.5907780528068542), ('princeps', 0.5583311319351196), ('senior', 0.556462824344635), ('cantor', 0.552322506904602), ('hostia', 0.5484811067581177)]",989,0.1491054743528366,2,"[('enim', 0.7518006563186646), ('namque', 0.7201226949691772), ('etenim', 0.6044241189956665), ('ergo', 0.5608664155006409), ('itaque', 0.5441965460777283), ('autem', 0.5411878228187561), ('sicut', 0.5406075119972229), ('nam', 0.5338364839553833), ('praeterea', 0.5300977826118469), ('igitur', 0.5001600980758667)]",516,1,3,"[('faio', 0.6693706512451172), ('ciuis', 0.6616998314857483), ('fortuna', 0.6272889375686646), ('Caesar', 0.616631031036377), ('tyrannis', 0.6120814681053162), ('paternus', 0.6108711957931519), ('Gallia', 0.6005072593688965), ('imperium', 0.5965397357940674), ('uictor', 0.5773665904998779), ('tyrannus', 0.5683692097663879)]"
pastor,250,563,0.30215758085250854,0,"[('foueo', 0.7006201148033142), ('senilis', 0.6502878069877625), ('debilito', 0.6453589200973511), ('resoluo', 0.6433488130569458), ('langueo', 0.6420508027076721), ('premo', 0.6352037787437439), ('fatigo', 0.6114965677261353), ('torpeo', 0.6072735786437988), ('onero', 0.6011753678321838), ('destituo', 0.6010347604751587)]",319,0.043554265052080154,1,"[('eleuo', 0.7538178563117981), ('extendo', 0.7256085872650146), ('expando', 0.7177301049232483), ('summitto', 0.6888916492462158), ('tollo', 0.6653249263763428), ('proicio', 0.6587652564048767), ('porrigo', 0.6550644040107727), ('gesto', 0.642419695854187), ('inclino', 0.6402783989906311), ('suspendo', 0.6398058533668518)]",459,0.3167969882488251,2,"[('mixtus', 0.7405639290809631), ('commisceo', 0.7240731120109558), ('coeo', 0.6906102895736694), ('oblecto', 0.6781879663467407), ('resoluo', 0.6418562531471252), ('ludo', 0.6398051977157593), ('raptum', 0.6291652917861938), ('permisceo', 0.628828763961792), ('ostento', 0.6242725849151611), ('concretus', 0.6212412118911743)]",250,1,3,"[('Pastor', 0.741081953048706), ('seruitium', 0.6709058880805969), ('missio', 0.6585255861282349), ('Bonus', 0.6216781139373779), ('fraternus', 0.6013978123664856), ('foueo', 0.5931923389434814), ('dispensator', 0.5917831659317017), ('intimus', 0.5836398601531982), ('adhaereo', 0.5708542466163635), ('caritas', 0.5673698782920837)]"
legio,238,532,0.05485443398356438,0,"[('quinquaginta', 0.9090250730514526), ('quadraginta', 0.9033361673355103), ('triginta', 0.8979341387748718), ('sexaginta', 0.8723832368850708), ('ducenti', 0.8641729950904846), ('trecenti', 0.8584315776824951), ('octo', 0.8518582582473755), ('quadringenti', 0.8497874140739441), ('octoginta', 0.8403528332710266), ('decem', 0.8342618346214294)]",308,0.13727077841758728,1,"[('sexaginta', 0.9266019463539124), ('triginta', 0.9188115000724792), ('trecenti', 0.9117255210876465), ('quinquaginta', 0.903222382068634), ('septuaginta', 0.9020518660545349), ('octoginta', 0.8994308114051819), ('decem', 0.8956270217895508), ('ducenti', 0.8948237299919128), ('octo', 0.8800429701805115), ('centum', 0.8797780871391296)]",434,0.4330023229122162,2,"[('trepidus', 0.7739681005477905), ('deicio', 0.7647568583488464), ('premo', 0.7647348046302795), ('saeuus', 0.7641900777816772), ('furo', 0.7505629062652588), ('mergo', 0.749788761138916), ('densus', 0.7436784505844116), ('fugax', 0.7407692670822144), ('tremo', 0.7359466552734375), ('corruo', 0.7218758463859558)]",238,1,3,"[('equitatus', 0.8919309973716736), ('nauigium', 0.8639069199562073), ('eques', 0.8620356321334839), ('pedes', 0.8599163889884949), ('Padus', 0.8588590025901794), ('cohors', 0.8500564694404602), ('pons', 0.8421339392662048), ('hispanus', 0.8287229537963867), ('sagittarius', 0.8275182247161865), ('turma', 0.8257163763046265)]"
natio,191,427,0.11386148631572723,0,"[('uolucer', 0.7220849990844727), ('uacca', 0.6976938247680664), ('chorus', 0.6885622143745422), ('alis', 0.6838288307189941), ('pascuum', 0.6804239749908447), ('capra', 0.6688559055328369), ('ouis', 0.6686240434646606), ('nidus', 0.6661571264266968), ('columba', 0.6639289259910583), ('haedus', 0.661748468875885)]",247,0.01190073974430561,1,"[('lupus', 0.7533623576164246), ('uolucer', 0.7455835342407227), ('piscis', 0.7249717116355896), ('serpens', 0.7154171466827393), ('belua', 0.7074174284934998), ('ceruus', 0.7073483467102051), ('hamus', 0.6947880387306213), ('uirgultum', 0.692611038684845), ('quadrupes', 0.6909389495849609), ('gramen', 0.6811757683753967)]",342,0.274517685174942,2,"[('iacto', 0.6545971035957336), ('domo', 0.6474092602729797), ('attollo', 0.6342436075210571), ('extollo', 0.6230046153068542), ('speciosus', 0.6081424951553345), ('niteo', 0.5931663513183594), ('aequo', 0.5924222469329834), ('dea', 0.59186851978302), ('iacio', 0.5909287333488464), ('supercilium', 0.586139976978302)]",191,1,3,"[('regio', 0.7698048949241638), ('prouincia', 0.6990545392036438), ('Europa', 0.6625816822052002), ('principatus', 0.6385603547096252), ('ambitus', 0.5970181822776794), ('factio', 0.5925503969192505), ('locupleto', 0.5896041393280029), ('gens', 0.5787532925605774), ('seminarium', 0.5722017884254456), ('diuersitas', 0.5657877922058105)]"
tormentum,152,337,0.2909574508666992,0,"[('exspecto', 0.7298107743263245), ('opperior', 0.5882622003555298), ('differo', 0.5398910641670227), ('moror', 0.5303589701652527), ('detineo', 0.5295172929763794), ('remitto', 0.5217936038970947), ('affero', 0.5155280828475952), ('adfero', 0.5103504061698914), ('postulo', 0.5092231035232544), ('flagito', 0.5032815933227539)]",200,0.28695032000541687,1,"[('exspecto', 0.6770321726799011), ('praeuenio', 0.6488097906112671), ('salutare', 0.6228627562522888), ('praecedo', 0.6088825464248657), ('recordor', 0.6024588346481323), ('exaudio', 0.5966929197311401), ('paeniteo', 0.5929208397865295), ('obliuiscor', 0.5689875483512878), ('misereo', 0.5657723546028137), ('spero', 0.5617523193359375)]",277,0.09408869594335556,2,"[('sapio', 0.7808188796043396), ('prudens', 0.7318623661994934), ('stultus', 0.6824805736541748), ('benignus', 0.662276566028595), ('fatuus', 0.6568837761878967), ('probus', 0.6525481343269348), ('uerax', 0.617466151714325), ('industrius', 0.6063971519470215), ('misericors', 0.5803326964378357), ('laudabilis', 0.5773496627807617)]",152,1,3,"[('agmen', 0.8034407496452332), ('nauigium', 0.7921245098114014), ('equitatus', 0.7872424125671387), ('pons', 0.7694085240364075), ('pugna', 0.7671309113502502), ('statio', 0.7629691958427429), ('legio', 0.7565537095069885), ('acies', 0.7556663751602173), ('propugnaculum', 0.7514088153839111), ('Padus', 0.7507383227348328)]"
humanitas,143,319,0.18756026029586792,0,"[('abnuo', 0.6298038363456726), ('desisto', 0.618911623954773), ('intercedo', 0.5982463955879211), ('exoro', 0.5857077836990356), ('inuitus', 0.5795013308525085), ('flagito', 0.5765529274940491), ('deprecor', 0.574415922164917), ('perseuero', 0.5548127889633179), ('paeniteo', 0.550080418586731), ('impetro', 0.5465254187583923)]",190,0.3151545226573944,1,"[('denego', 0.6645423769950867), ('indignus', 0.6620983481407166), ('particeps', 0.6601806879043579), ('admitto', 0.6562633514404297), ('excuso', 0.6510524153709412), ('obnoxius', 0.6446166038513184), ('imputo', 0.6435580849647522), ('parricidium', 0.6411276459693909), ('parco', 0.6380520462989807), ('fraudo', 0.6333575248718262)]",264,0.05318823084235191,2,"[('ignobilis', 0.5947808027267456), ('ualde', 0.5855240821838379), ('indoles', 0.5852339863777161), ('eximius', 0.5823214054107666), ('prudens', 0.5628814697265625), ('matrona', 0.5522494316101074), ('litteratus', 0.5521717667579651), ('insignis', 0.5490923523902893), ('nobilis', 0.5488800406455994), ('strenuus', 0.5329675674438477)]",143,1,3,"[('modestia', 0.7572274804115295), ('pietas', 0.7392832636833191), ('prudentia', 0.7377815246582031), ('simplicitas', 0.7159544229507446), ('clementia', 0.70909184217453), ('diuitia', 0.6929158568382263), ('familiaritas', 0.6927008628845215), ('bonitas', 0.6897406578063965), ('incrementum', 0.6891584396362305), ('liberalitas', 0.6877243518829346)]"
machina,112,247,0.2300100326538086,0,"[('fatigo', 0.6853361129760742), ('destituo', 0.6319056153297424), ('quiesco', 0.6062547564506531), ('impedio', 0.6002023220062256), ('exspecto', 0.5876026749610901), ('tardo', 0.5871487855911255), ('intermitto', 0.5829530954360962), ('oblecto', 0.5794654488563538), ('moror', 0.5773934721946716), ('deflecto', 0.5593836307525635)]",148,0.1892412304878235,1,"[('praecaueo', 0.6380741596221924), ('subtraho', 0.6340200304985046), ('affero', 0.6325059533119202), ('impedio', 0.6189388632774353), ('intercido', 0.6155410408973694), ('adiuuo', 0.6033621430397034), ('protraho', 0.6021609306335449), ('iniungo', 0.5922447443008423), ('eximo', 0.5885246396064758), ('deprehendo', 0.5878981947898865)]",207,0.06055144965648651,2,"[('patrimonium', 0.6232470870018005), ('hereditas', 0.6050050854682922), ('creditor', 0.5634070634841919), ('debitum', 0.5609062910079956), ('heres', 0.5561123490333557), ('pars', 0.5468352437019348), ('duplus', 0.5465152859687805), ('quantitas', 0.5456479787826538), ('dos', 0.541201651096344), ('commodum', 0.5396512150764465)]",112,1,3,"[('saucius', 0.7872088551521301), ('ruina', 0.7838228940963745), ('Libya', 0.7834598422050476), ('incendium', 0.781159520149231), ('Pannonia', 0.7796987295150757), ('Alpes', 0.7778845429420471), ('pelagus', 0.7700801491737366), ('attono', 0.768717348575592), ('mol', 0.766955554485321), ('comporto', 0.7621304392814636)]"
examino,60,130,0.15211239457130432,0,"[('mancipium', 0.6567324995994568), ('auarus', 0.6425431370735168), ('locupleto', 0.6398450136184692), ('duplus', 0.6336075067520142), ('creditor', 0.6200876235961914), ('emo', 0.6178329586982727), ('nummus', 0.6156643629074097), ('praedium', 0.6155613660812378), ('calix', 0.6035445332527161), ('merx', 0.5890545845031738)]",82,0.24507084488868713,1,"[('creditor', 0.8589144349098206), ('debitor', 0.7756657600402832), ('usura', 0.764616072177887), ('pecunia', 0.7556697726249695), ('exceptio', 0.7445706129074097), ('uenditio', 0.7385280132293701), ('opera', 0.7208449840545654), ('fiscus', 0.7163493037223816), ('pretium', 0.7067164778709412), ('procurator', 0.6965222358703613)]",109,0.2641531527042389,2,"[('progredior', 0.8068349361419678), ('nauigo', 0.7043929696083069), ('Neapolis', 0.6960323452949524), ('maritimus', 0.6851663589477539), ('prosilio', 0.6647531390190125), ('nauigium', 0.6612072587013245), ('portus', 0.6602463722229004), ('Padus', 0.6595635414123535), ('uicina', 0.6570292711257935), ('propinquo', 0.6561018228530884)]",60,1,3,"[('exquiro', 0.7719724774360657), ('perpendo', 0.7639613747596741), ('definio', 0.7508563995361328), ('exaro', 0.7498331665992737), ('approbo', 0.7386354207992554), ('publico', 0.7251020073890686), ('recognosco', 0.7161363959312439), ('translatio', 0.7053043246269226), ('tracto', 0.6920346021652222), ('adhibendus', 0.6901803016662598)]"
